
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_Ek_Offset.txt
Total Actual Scans	10
X Label	Kinetic Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	12.0
X Max	17.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -300.0 -600.0 -900.0 -1200.0 -1500.0 -1800.0 -2100.0 -2400.0 -2700.0 -3000.0 -3300.0 -3600.0 -3900.0 -4200.0 -4500.0 -4800.0 -5100.0 -5400.0 -5700.0 -6000.0 -6300.0 -6600.0 -6900.0 -7200.0 -7500.0 -7800.0 -8100.0 -8400.0 -8700.0 -9000.0 -9300.0 -9600.0 -9900.0 -10200.0 -10500.0 -10800.0 -11100.0 -11400.0 -11700.0
 
DATA:
Ek_Si0006_EDCs	Si0006_EDCs_0.483_Offseted	Si0006_EDCs_0.453_Offseted	Si0006_EDCs_0.422_Offseted	Si0006_EDCs_0.392_Offseted	Si0006_EDCs_0.362_Offseted	Si0006_EDCs_0.332_Offseted	Si0006_EDCs_0.302_Offseted	Si0006_EDCs_0.272_Offseted	Si0006_EDCs_0.242_Offseted	Si0006_EDCs_0.212_Offseted	Si0006_EDCs_0.182_Offseted	Si0006_EDCs_0.151_Offseted	Si0006_EDCs_0.121_Offseted	Si0006_EDCs_0.091_Offseted	Si0006_EDCs_0.061_Offseted	Si0006_EDCs_0.031_Offseted	Si0006_EDCs_0.001_Offseted	Si0006_EDCs_-0.029_Offseted	Si0006_EDCs_-0.059_Offseted	Si0006_EDCs_-0.089_Offseted	Si0006_EDCs_-0.12_Offseted	Si0006_EDCs_-0.15_Offseted	Si0006_EDCs_-0.18_Offseted	Si0006_EDCs_-0.21_Offseted	Si0006_EDCs_-0.24_Offseted	Si0006_EDCs_-0.27_Offseted	Si0006_EDCs_-0.3_Offseted	Si0006_EDCs_-0.33_Offseted	Si0006_EDCs_-0.361_Offseted	Si0006_EDCs_-0.391_Offseted	Si0006_EDCs_-0.421_Offseted	Si0006_EDCs_-0.451_Offseted	Si0006_EDCs_-0.481_Offseted	Si0006_EDCs_-0.511_Offseted	Si0006_EDCs_-0.541_Offseted	Si0006_EDCs_-0.571_Offseted	Si0006_EDCs_-0.601_Offseted	Si0006_EDCs_-0.632_Offseted	Si0006_EDCs_-0.662_Offseted	Si0006_EDCs_-0.692_Offseted
16.33	23.287600458201776	-258.7991419417749	-547.323770817457	-855.8392765535613	-1164.111848547799	-1454.3844707582925	-1750.8806357373664	-2042.2404451145053	-2355.172021235064	-2663.9251126878717	-2963.3241232771625	-3257.9973541891277	-3547.2476809665254	-3838.1658381081893	-4147.246255823924	-4450.141431289576	-4755.3881870933055	-5037.116743653132	-5337.565529868748	-5641.774382094551	-5947.164087336545	-6256.321429776336	-6540.504378775734	-6857.230701783664	-7146.762469472518	-7448.558981783786	-7740.739478409776	-8016.410372539215	-8330.291927184438	-8616.499631870827	-8927.206465945463	-9229.873824918528	-9537.761756594515	-9810.449484078004	-10119.411193262707	-10430.896226957102	-10728.402373428667	-11045.322937836983	-11380.569857193294	-11697.617901929525
16.34	24.80316714519734	-251.22199835775072	-550.9337592168163	-849.0290780311767	-1162.9308716352489	-1460.955530735972	-1756.6180950341	-2062.0131930369325	-2359.701178273465	-2651.283174837104	-2962.756773424747	-3252.5096461024013	-3535.028587117908	-3842.520222531335	-4144.619080963261	-4445.752888644269	-4748.016292220034	-5035.066021899887	-5344.491797197025	-5642.830846490411	-5941.259499982201	-6250.36429308237	-6566.842271718316	-6852.644775166249	-7133.307020360093	-7432.850310148794	-7740.854431703783	-8031.906460860493	-8337.086676086397	-8630.231817369646	-8919.334617812445	-9229.476276272475	-9520.946338023805	-9810.932971832206	-10109.895916909683	-10431.479642860188	-10725.683907242588	-11047.880191510083	-11382.090726874014	-11698.54614748405
16.35	27.331930198180963	-249.83961531338778	-550.9769715045501	-846.0917965099203	-1148.9129372087855	-1448.2613060454817	-1755.9162779557635	-2049.3787272909453	-2345.619975825794	-2627.7218631182445	-2948.655747775715	-3247.40862481418	-3550.542834968102	-3850.826008246291	-4152.385976613697	-4438.443137579751	-4734.090673894726	-5048.4877388829655	-5346.839018646454	-5638.452105763803	-5953.437825431631	-6235.635656313413	-6543.852215498536	-6845.907637732377	-7143.94735379707	-7440.980620671893	-7729.998404758008	-8026.745390125655	-8326.986839579833	-8613.621278680077	-8925.267463803457	-9212.662788815247	-9489.835608930345	-9802.858146216855	-10124.552242083426	-10435.906861934736	-10723.689071417044	-11051.173705818923	-11370.77628455108	-11694.452913377327
16.36	26.852941672228603	-250.57017690677	-552.4448101815082	-854.349122064568	-1152.397748692518	-1453.584600882294	-1731.7314476951092	-2045.8548288241814	-2358.770359035907	-2657.0624375122475	-2955.462969683491	-3240.5984677208594	-3557.9057104650824	-3848.823501343039	-4152.847541392947	-4448.371152718323	-4738.872506415361	-5041.4861490967305	-5324.880804379366	-5644.277784002401	-5949.446137090163	-6250.685699820552	-6523.016069185984	-6849.042697678943	-7145.100678125027	-7429.920824259497	-7732.1597008154795	-8040.532277234871	-8344.47291516971	-8642.870729271977	-8912.858699276472	-9223.762368491569	-9522.31157978221	-9794.019534466664	-10127.646723942686	-10434.126595430525	-10721.879587328453	-11027.053854232694	-11382.887306735465	-11699.2538400061
16.37	29.013301095848934	-258.6506252173788	-550.6697747436131	-853.6804553977597	-1163.95117862765	-1454.2909287314073	-1745.0439179855196	-2056.4687320338753	-2355.1100631053087	-2660.7801127685343	-2947.2817507032332	-3231.7843094830487	-3536.327653795557	-3855.809034585775	-4147.3676484687285	-4446.1348227382	-4744.469216466191	-5041.250173949822	-5352.641494002465	-5637.027489508595	-5948.303123876311	-6238.929807599263	-6545.430577619342	-6846.944951359235	-7140.15017206742	-7442.234660801874	-7718.483489492905	-8010.354397005264	-8329.091958382005	-8623.640461864756	-8920.24527889601	-9212.944588590335	-9501.766595740897	-9810.820828409707	-10105.919949734283	-10432.610716242041	-10727.509136457535	-11045.117775669964	-11383.372318084304	-11695.848340771296
16.38	26.919353167209845	-255.73773540049993	-552.2037056374638	-852.6551843759993	-1164.341239555344	-1444.0405060785522	-1748.6762742160363	-2062.510362996989	-2347.2413289464535	-2659.609379794895	-2946.691358609597	-3244.1243041621315	-3558.3152288613505	-3855.7949183139094	-4133.5770965521215	-4441.490769185867	-4748.437831701065	-5048.82342671034	-5343.931470382492	-5644.796306200304	-5948.76802333678	-6245.632066579402	-6548.662937481294	-6853.025057599116	-7133.487770782054	-7443.824655950788	-7727.063676659088	-8012.4354925777325	-8319.8329779697	-8621.212267070694	-8909.11125502845	-9213.897115196427	-9511.624185107432	-9809.03465772094	-10121.620655380759	-10438.948115208565	-10739.393545994342	-11037.54936382817	-11379.36123715897	-11697.782486067468
16.39	31.56240658965818	-254.05590922267865	-558.1797764032316	-845.512541115895	-1155.1315096232258	-1464.848747435425	-1755.3634263522022	-2051.525593135161	-2342.3009931835304	-2650.4839941932805	-2957.276922123294	-3261.206332474517	-3539.4641805448614	-3846.6346642663602	-4148.803583258415	-4449.3155395086205	-4745.438266962267	-5035.498012813452	-5344.831960151693	-5638.224221651927	-5933.133574756737	-6239.707455988229	-6544.259252065768	-6853.852829942336	-7147.362725906777	-7436.723751017163	-7737.669395933049	-8030.1647250868555	-8333.900661046282	-8630.576539719925	-8913.37390028516	-9206.41730256737	-9512.951706756274	-9797.616458431456	-10108.307027397033	-10421.922307088551	-10726.228864616658	-11046.639695986905	-11372.206359336862	-11697.12994227034
16.4	40.98107685818475	-248.85712125419113	-549.2978263706957	-850.6710869060915	-1145.8068232264836	-1443.4158347870848	-1747.7360280804357	-2044.165756745297	-2342.6985755826086	-2650.0613431326324	-2956.8496331082024	-3250.4161395835627	-3547.62932078563	-3850.2670266070813	-4140.613468238244	-4445.2292084751925	-4753.632918277065	-5037.3296939176935	-5344.375832825158	-5658.357395858024	-5936.920772267749	-6247.352464506874	-6538.555388480573	-6854.165212133826	-7152.540886318514	-7442.003953707606	-7731.831901601324	-8035.9759547211515	-8311.276516337	-8615.746741269686	-8921.783296536338	-9192.995790862635	-9489.78087159074	-9798.476938362786	-10104.607405893292	-10418.187695718809	-10730.150593865783	-11029.575069404467	-11372.557742903458	-11694.01388678086
16.41	25.88972969632686	-256.3997520559245	-537.1829586668734	-852.9153675738563	-1151.873013620759	-1434.1763359963827	-1749.6334497091486	-2058.899223062729	-2353.814868470232	-2647.8258233256306	-2946.1962159985496	-3246.3805257451586	-3553.9901395601446	-3849.0736780951947	-4148.214163261675	-4460.140194448501	-4748.071248539277	-5048.9240459373805	-5347.237744830766	-5643.115831840755	-5935.236057016359	-6250.080241144092	-6548.283663404305	-6846.933330364508	-7144.803639837924	-7445.860156738253	-7733.203618257663	-8024.804538354492	-8325.382288639374	-8620.331960223544	-8909.23943964058	-9207.691191893313	-9515.577610278187	-9799.413945476354	-10114.289125484831	-10436.295361104312	-10735.15874108013	-11055.020517267378	-11380.150476267543	-11697.907826710614
16.42	45.05313209587983	-255.89676650610176	-547.8908377881662	-855.2593557359171	-1142.762666503051	-1436.3986603220226	-1750.4605848947915	-2056.2171033448594	-2350.5199362948656	-2651.440776868606	-2951.1381087370696	-3254.0484214358958	-3549.460141604678	-3847.818365993186	-4149.334643384571	-4445.168196161487	-4750.374781577258	-5041.097998237744	-5331.702186797916	-5638.626693325068	-5958.855657974174	-6257.2484297336105	-6536.201314665218	-6850.76796407562	-7139.80089779801	-7439.477377461152	-7736.76981983312	-8035.629291560425	-8321.236265763933	-8618.723540592893	-8907.327700877777	-9209.481836313405	-9485.317712400125	-9798.184640444704	-10113.109522214312	-10440.4980982262	-10726.15678427417	-11048.846050886763	-11380.657461787081	-11698.11866579172
16.43	35.88057539677877	-245.339984850566	-549.7115839536768	-840.6736594219731	-1143.7902827809264	-1444.5373284575262	-1751.1913003313318	-2056.762594086804	-2364.5704644716675	-2650.6862339546074	-2946.440318923572	-3245.53158517395	-3560.341099567381	-3834.3835144930536	-4153.899802841647	-4444.225080719316	-4737.458036574693	-5036.1987243565745	-5350.880077475136	-5654.710637583896	-5940.100713543423	-6245.1326185951375	-6552.084415729826	-6853.694943407109	-7150.970261589758	-7413.092001884634	-7712.293368448627	-8013.674002162677	-8302.545082405491	-8621.624083469784	-8907.143973325883	-9206.195931580765	-9483.002950302425	-9792.21213529064	-10100.738524091379	-10418.764400038164	-10726.01873602389	-11036.30651535775	-11387.33403685982	-11700.0
16.44	30.714903939355313	-264.3842382405337	-561.4320780229618	-845.6533962194903	-1144.5638300780247	-1448.3732584961813	-1749.7779450368303	-2046.5134000946866	-2359.2872409231136	-2653.7723034084925	-2950.34079631073	-3245.9551463916014	-3540.596390131292	-3847.2804057435073	-4156.655274875456	-4455.024636893083	-4739.02240579334	-5038.429961114094	-5324.05916440602	-5649.8647275460835	-5945.513638967653	-6237.033236744605	-6546.859290186597	-6849.0931349855955	-7128.547105601449	-7438.836053297472	-7732.7581004939675	-8001.415207309387	-8304.913034868945	-8602.439910367688	-8907.453809344655	-9187.185868269442	-9491.356556606492	-9809.677682295454	-10114.451956295157	-10433.195859000736	-10698.574947563815	-11034.138285355428	-11375.792008038781	-11699.998287400278
16.45	30.181333701662478	-253.48670467055564	-561.0650564089535	-862.3233911519959	-1154.7493143475654	-1444.0919669581272	-1759.0423822557298	-2055.915650573528	-2356.3780487539593	-2654.672703237432	-2950.57631166028	-3263.312306206672	-3555.57489566626	-3847.7176538678955	-4151.8906337672815	-4434.938275516722	-4747.798563644689	-5041.742031020452	-5345.528004305962	-5635.694981619534	-5953.003941612196	-6256.259408516235	-6542.689695791378	-6843.932555182934	-7151.3025620694525	-7438.786551695395	-7741.49159507839	-8024.4334252481885	-8295.935644281748	-8616.862376816378	-8921.75218874757	-9190.483256609497	-9504.072916655676	-9805.052637288936	-10117.954726899154	-10428.740285584969	-10736.425984189706	-11032.842671092334	-11377.082787156025	-11698.228497120772
16.46	35.758105025319885	-250.3476576892901	-544.8223930082949	-856.3517518532499	-1147.6937872316205	-1444.6394859083516	-1753.3584947457186	-2050.832931222299	-2345.166998161773	-2650.4333697357424	-2947.900921706329	-3254.4979341218773	-3553.719400283152	-3850.799645532547	-4147.850050324514	-4442.629666477235	-4759.186019952056	-5057.014734409033	-5344.478289815885	-5642.723352317989	-5942.646413966095	-6249.464583986144	-6539.882027000614	-6832.349410942618	-7130.627706050067	-7437.401317055673	-7736.617341767894	-8027.575077957916	-8332.275832553423	-8615.954916655328	-8891.671957418474	-9188.969872077783	-9504.218359370581	-9794.120444296872	-10102.869248574572	-10423.582364407872	-10742.799454780057	-11029.844487300943	-11367.888684840329	-11698.595623785734
16.47	38.04900161179062	-241.2660251268042	-559.6452406618233	-848.2377273660896	-1147.7696990255085	-1456.8652624576748	-1753.3779174665958	-2058.3909977401045	-2348.086717460956	-2655.9387301784573	-2950.998781420118	-3249.5955699551387	-3550.0983751365184	-3864.29117708386	-4145.894277391028	-4450.279027441224	-4737.132139888192	-5055.723495492665	-5344.564386070035	-5644.668910122	-5941.469967488949	-6242.488750835626	-6528.196075499825	-6839.347301155326	-7152.846656670543	-7442.874399785626	-7740.029761831524	-8025.918503650925	-8313.75774841779	-8626.120785307668	-8899.119694337525	-9190.414554129895	-9523.190735295504	-9801.991328530274	-10087.456114770654	-10410.61200004062	-10724.94079902238	-11018.738789086845	-11380.529966859891	-11698.583339755354
16.48	43.61549599369398	-249.86831915257812	-557.5271484781831	-847.4762843824784	-1148.4794395979247	-1445.893092592006	-1742.8643810177505	-2037.537799667541	-2355.293730264257	-2660.3085320004534	-2943.568912421789	-3255.0439652745554	-3558.1779405695065	-3849.007148833685	-4152.899564835525	-4444.259628234686	-4752.375933618442	-5032.413472246309	-5337.654386470704	-5648.920902407862	-5939.796830681227	-6265.4749027402295	-6529.733177611012	-6851.05146775208	-7130.309408374479	-7429.130201531466	-7723.048536876415	-8027.427427550671	-8316.921263820568	-8618.756149661986	-8910.572134774178	-9181.46325806931	-9487.504326754437	-9778.501630053184	-10111.170532630458	-10431.0098704484	-10721.528760433694	-11040.139065577465	-11366.675931182337	-11696.863383936303
16.49	31.400213223999643	-247.59646183940535	-564.8792904432715	-847.8943260871072	-1144.2958576486433	-1445.8855327767722	-1745.1152000178545	-2056.607547134957	-2350.4722099100277	-2659.9652807018733	-2946.2905837301473	-3247.6318142054142	-3555.8484979845725	-3860.999506936982	-4149.763302719069	-4447.421764068954	-4757.691426549339	-5048.017714805853	-5348.03246266588	-5636.479999445355	-5946.192887847332	-6266.1856703448975	-6557.556395496151	-6838.988724617087	-7140.635410765168	-7421.192984542637	-7727.95991617584	-8024.185983812478	-8320.6040211075	-8614.161095460959	-8912.363010748682	-9205.225975151301	-9483.405511646555	-9803.718888210175	-10104.256035367795	-10403.175872430029	-10717.845780797543	-11037.913042043172	-11372.597685453848	-11695.956805252506
16.5	30.681038177382245	-242.48756973649935	-546.1536589491873	-854.0854776864821	-1161.451594830661	-1457.4086065591132	-1758.5569460719921	-2044.6540231918561	-2362.985394848757	-2666.0531595364655	-2958.864930916337	-3246.3364922467913	-3540.223843003509	-3860.0985248597103	-4140.36987479675	-4452.757165631272	-4748.627834002122	-5048.454837625475	-5326.851958192488	-5654.514886654252	-5948.625227382051	-6246.045986125423	-6547.364344888351	-6829.335366712771	-7136.496683500051	-7426.001684976134	-7733.763860817921	-8017.858571483885	-8329.617199326593	-8595.390184384283	-8896.635797318622	-9179.762186771775	-9489.537020952826	-9801.461074921663	-10099.50936048667	-10408.858843308211	-10708.077069975887	-11037.061031482743	-11369.42126277101	-11698.520371129991
16.51	34.692097409206745	-243.18341578001474	-542.343254766512	-853.9728877090994	-1160.71149037702	-1428.6724219293626	-1755.491133644382	-2050.8731034955636	-2367.904080900887	-2653.716435087808	-2955.0188329533507	-3266.964750411509	-3544.513966616412	-3855.9039795461026	-4145.284392706798	-4446.449964561286	-4736.891339014179	-5045.494105471173	-5343.5747734153	-5649.485521521693	-5956.517961852473	-6246.084561547384	-6544.190804890206	-6843.989810592838	-7146.887399468545	-7430.889053051741	-7723.541243919393	-8014.806866081096	-8320.360464024356	-8613.988529164713	-8866.217824739004	-9196.95627830821	-9485.201283953416	-9808.700674357791	-10105.374565758944	-10422.33697915351	-10732.003917557799	-11036.728127764804	-11365.19324929366	-11699.730840758284
16.52	42.911467212819176	-228.7172955695935	-535.3641793728159	-865.4106020432323	-1153.1040178680548	-1444.9449809110668	-1763.1715295805818	-2053.1943953965465	-2368.558505381678	-2663.3395596574182	-2957.080338215292	-3263.4783371863564	-3549.641274794888	-3842.5069029887622	-4158.727801117545	-4439.793482630023	-4750.990841708378	-5056.1415321956065	-5353.167707022672	-5648.5927860766315	-5944.454904387056	-6246.846594609753	-6541.5840717556175	-6837.3852310283055	-7130.629288475506	-7433.712097051001	-7724.056162029287	-8038.769145822281	-8312.047917557356	-8608.70110201686	-8894.048062132084	-9175.313662364053	-9494.979865890698	-9809.903615134952	-10098.16584075042	-10418.94298557606	-10707.155248163057	-11035.34521571151	-11379.863188260273	-11699.77814462125
16.53	29.04094652249381	-256.3119245214552	-546.185589646165	-858.234296857149	-1163.5327749425562	-1447.0556396903653	-1758.5893835791317	-2037.1331302473168	-2346.9211212924847	-2656.9437916060474	-2960.377866000865	-3254.5739008616792	-3554.7767478644014	-3860.722043335993	-4158.110340883222	-4450.86260769008	-4750.6433700416765	-5046.6951874848555	-5342.548063970993	-5654.963044662808	-5944.027680920495	-6254.90164771067	-6556.471990174184	-6849.10047765161	-7133.617152602991	-7432.21985285304	-7731.748610905733	-8043.540549811042	-8314.305979750663	-8591.679535829593	-8892.11845192117	-9183.647834799634	-9502.831274249715	-9779.354644835505	-10076.830970466948	-10414.28946052492	-10719.177702677356	-11038.513580297711	-11367.149968893995	-11697.06828888571
16.54	42.53546942474699	-256.79569461029723	-543.5353008557042	-849.4579658968216	-1148.3703472125214	-1462.281245467976	-1748.5589055695857	-2062.8433799463446	-2354.686819081289	-2659.4391192220555	-2957.743877443049	-3246.6721915186813	-3552.7691370414664	-3856.6290381176264	-4143.991004147044	-4456.191164854306	-4741.424712016865	-5053.205190798636	-5353.511891738556	-5656.309131987567	-5958.934376345156	-6257.00683958704	-6560.548195693954	-6856.019809164234	-7137.326365557986	-7447.478993501823	-7721.396628105829	-8026.219815302586	-8321.193461576198	-8618.501285897866	-8894.381044841795	-9187.881094758206	-9486.809772734263	-9795.204862354834	-10090.277735325984	-10410.127232486437	-10717.003864164903	-11045.198741781693	-11381.584358357197	-11695.845664703946
16.55	33.47671073343379	-255.09447828428995	-550.8443406748513	-852.5477905210049	-1135.3705929713342	-1446.1772786209997	-1745.0547131301207	-2054.320043099366	-2350.201657536035	-2644.3183071764383	-2948.2234747532557	-3258.9333331791013	-3554.36317784238	-3851.508433410808	-4151.890275941351	-4446.814576395164	-4753.037773017753	-5049.7668965511875	-5353.28883164021	-5647.024023144426	-5954.007564613439	-6257.9318847378145	-6546.343113832074	-6852.0043476519	-7142.913999477826	-7435.17541946971	-7706.838301919503	-8023.074585822247	-8333.39299334341	-8603.57293762905	-8892.864737277845	-9187.949102037306	-9485.590708736432	-9808.026814822282	-10079.804295132184	-10410.820667273596	-10728.07857721594	-11035.628160481117	-11375.691167908495	-11699.390795317795
16.56	39.5778062060932	-255.02795879154297	-555.2138213878927	-859.4298161699909	-1133.2845077853754	-1453.9597535929518	-1766.842025060919	-2059.1696496207587	-2355.1542543330215	-2667.274136820338	-2965.7142228403604	-3253.611003856357	-3555.6451937569223	-3864.5950276189637	-4148.05080509398	-4455.871736633441	-4751.475781598398	-5054.513245193426	-5352.831133856351	-5656.952542403408	-5947.139734134481	-6244.810586754464	-6548.052086703367	-6856.8248707113535	-7142.244451291959	-7437.72915352213	-7742.2077821242865	-8020.495487395356	-8317.185842084275	-8608.155738847334	-8878.250250142011	-9205.261995750994	-9492.683458656016	-9816.221575486805	-10113.198765660936	-10407.996114763626	-10718.251497666899	-11021.466063786715	-11371.627051642272	-11695.694216987251
16.57	19.728333007160387	-260.87286256562135	-558.5183938590004	-840.46555710907	-1141.5511803298446	-1451.1879639125584	-1746.5096549869215	-2048.2446839215504	-2345.2585062121843	-2655.8950018219457	-2964.851360653819	-3237.6408596519013	-3549.198693927466	-3849.374567508423	-4158.607074669048	-4462.963239108881	-4747.925187602418	-5057.058337705894	-5358.247127273467	-5650.669049927034	-5964.085813749108	-6270.385537889566	-6547.070241367714	-6851.056507959452	-7127.861244039031	-7448.284819516079	-7732.549300233984	-8011.910416599264	-8308.125088405748	-8595.874082126438	-8891.079225523465	-9174.75208706647	-9493.992047421594	-9778.08962875593	-10118.450899791753	-10425.138005402525	-10708.261448597155	-11031.923005512079	-11372.71890515521	-11696.697893208397
16.58	25.55172644008861	-245.9123222461954	-551.1244157555194	-833.2329223805798	-1146.7767934414703	-1447.8227835885803	-1755.077198695641	-2045.402004192923	-2361.3219916881553	-2661.872538129875	-2971.8181985192286	-3256.7645035940345	-3559.3948866274413	-3843.443107782457	-4177.484944841702	-4454.257640038869	-4758.011126370126	-5055.7043425168695	-5350.331960392767	-5656.697575696575	-5966.494340991514	-6259.43986967342	-6550.4701092952155	-6846.143488833065	-7127.940830060624	-7450.321443006936	-7750.731378951094	-8021.12391938826	-8307.951618829382	-8591.969538922805	-8877.342834245936	-9191.43217747719	-9479.757303849412	-9782.153235255413	-10121.162387616481	-10419.056113329634	-10718.103247123974	-11040.310210437503	-11374.534316141177	-11697.65805455545
16.59	35.51892839159615	-232.22273088744157	-552.4921258928703	-844.0235505340497	-1157.1382111801374	-1457.8588220277586	-1750.370661475657	-2053.6963827512645	-2353.871639724033	-2638.4040153850674	-2959.648253924983	-3266.210970386372	-3567.112826439611	-3860.5029996562585	-4164.204991944026	-4465.281912720079	-4742.69689999008	-5069.779829300476	-5360.975028538425	-5647.880890942802	-5953.912559661885	-6259.296838905835	-6559.478323401966	-6844.301287539317	-7130.499879457132	-7428.882834355427	-7739.013171040537	-8029.816617298805	-8305.585088592326	-8602.21157461118	-8893.544447773204	-9171.829150246156	-9492.36888203967	-9804.866219565383	-10098.714599489445	-10418.201470497286	-10724.146121883603	-11040.99135654899	-11370.908230767927	-11694.134418502335
16.6	29.568119547197107	-248.47394946925573	-554.2778810502139	-844.5281302315038	-1160.684307095335	-1461.0193775821285	-1757.8477455298134	-2056.3428307958384	-2351.4037755332556	-2667.543593784307	-2969.909887595625	-3263.5286518486428	-3562.903349376262	-3861.328201654271	-4163.719998769261	-4455.386519969841	-4755.358314090337	-5062.079619168389	-5364.374415173041	-5667.886160510583	-5957.257220221495	-6260.9380876101295	-6539.989087322031	-6843.384254309105	-7152.775986184198	-7449.664818055275	-7724.539778226885	-8040.038969917749	-8329.48391976016	-8601.037900906056	-8884.326705069707	-9181.17598618926	-9483.103377098903	-9804.20639666002	-10104.388685248523	-10396.522217608075	-10722.592903513389	-11047.534705847424	-11364.537929323484	-11697.339331262068
16.61	35.78870333354493	-251.9025219369564	-549.5014904532756	-839.7445723273194	-1145.9853694074422	-1459.71107810649	-1756.7545040807388	-2067.333721021784	-2356.714824679783	-2667.7595091478142	-2965.9626209803137	-3255.589121002619	-3567.911916495773	-3860.838013388265	-4162.001026462252	-4464.922389918866	-4743.841506862561	-5053.491083377505	-5338.448343173156	-5663.295926565185	-5971.114672155403	-6257.626102330256	-6552.028591569022	-6833.935555715149	-7154.289120129309	-7447.169377794331	-7738.152876515681	-8026.596455066172	-8304.075606310322	-8611.20705232289	-8901.84182797093	-9198.625220943597	-9491.497893155485	-9784.414614252772	-10104.734199841463	-10413.324729104716	-10724.748463248678	-11048.0068413401	-11374.566751107212	-11697.751544286073
16.62	52.868021732004486	-235.6596595079367	-556.4665187948797	-861.7088753811728	-1155.5607863000798	-1442.3935627328926	-1772.7390479093654	-2066.04089826202	-2363.400109163762	-2665.3109542860648	-2964.417700267156	-3268.3056719500123	-3567.716266466477	-3861.796849521666	-4159.375116004748	-4461.0265211552805	-4756.969486344713	-5049.535882064103	-5356.943926920597	-5657.205302935102	-5962.027240809791	-6263.0519486563235	-6570.772592599301	-6853.7519148860165	-7157.035514645357	-7460.238834621464	-7721.7420743182065	-8032.988303179769	-8320.580592901239	-8599.370429966055	-8899.743751616497	-9175.517971953808	-9505.282194718724	-9808.450948300086	-10109.698590844358	-10415.836701083215	-10722.878914629442	-11023.38883035061	-11368.732565758073	-11695.608263916594
16.63	21.48042571285884	-258.72603140132503	-551.0746657746254	-861.4113803148623	-1132.905563946265	-1449.2852680487085	-1765.6991546019385	-2052.5389833843014	-2366.9895660255684	-2655.367965640699	-2954.322488772078	-3263.222589628536	-3570.3260435343773	-3864.5555066810402	-4161.523182212833	-4462.619231880221	-4775.856006091561	-5061.293159922752	-5351.0587354164345	-5653.913092038802	-5966.467882449304	-6269.518005146457	-6560.552810280909	-6856.657749602045	-7151.463912990049	-7437.763124309144	-7743.412942579881	-8044.012716721342	-8338.100890862186	-8600.155364028295	-8893.163444799806	-9184.04151428103	-9482.518763350816	-9807.251722857753	-10087.25888162781	-10412.289124060886	-10724.903281408413	-11022.913207644759	-11379.159304562825	-11699.489149256842
16.64	27.341664518588438	-270.72953396335816	-553.9500941029498	-863.9697828635858	-1147.3009137263043	-1451.045243712811	-1758.332310013241	-2058.8179202820847	-2369.269532810719	-2672.309118210177	-2965.541023736413	-3259.894833435627	-3563.2371536824835	-3849.834478077367	-4160.017926074771	-4455.259846016619	-4756.727462208478	-5072.635153799005	-5364.588174548878	-5668.8308306553145	-5961.964097257244	-6258.160373914822	-6562.066261887341	-6853.905463306178	-7146.713161993357	-7450.449269225429	-7746.3879023429745	-8052.317475693847	-8311.03962064184	-8603.573865274702	-8909.835990112244	-9187.205750596038	-9512.338930449589	-9806.435968564418	-10115.983489603954	-10420.829606068699	-10740.054397746464	-11052.982168031285	-11363.477216429363	-11695.633788370946
16.65	34.10118124258326	-253.89405534279257	-556.7153089661334	-841.8501280500703	-1166.9923770684054	-1457.828657968894	-1755.0179046344138	-2052.6455238603676	-2364.930522276208	-2665.838111107225	-2965.624702031443	-3273.718676522062	-3550.7509611597425	-3868.2044286268924	-4152.532665965319	-4483.485732565042	-4768.1307132923275	-5065.046825878645	-5358.955493386371	-5652.529583036375	-5968.979470736584	-6256.904294019082	-6559.196691940831	-6865.850660271403	-7159.333165797291	-7458.747870085382	-7740.614536400174	-8030.933133609782	-8314.640136204613	-8620.393746241123	-8911.844873180196	-9182.522835824975	-9510.907401892591	-9803.72221386543	-10125.986663492102	-10432.85893244018	-10738.289262127724	-11058.72468757912	-11365.911613240703	-11698.45144993893
