
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_Ek.txt
Total Actual Scans	10
X Label	Kinetic Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	12.0
X Max	17.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0 -8800.0 -9200.0 -9600.0 -10000.0 -10400.0 -10800.0 -11200.0 -11600.0 -12000.0 -12400.0 -12800.0 -13200.0 -13600.0 -14000.0 -14400.0 -14800.0 -15200.0 -15600.0
 
DATA:
Ek_Si0006_EDCs	Si0006_EDCs_0.483	Si0006_EDCs_0.453	Si0006_EDCs_0.422	Si0006_EDCs_0.392	Si0006_EDCs_0.362	Si0006_EDCs_0.332	Si0006_EDCs_0.302	Si0006_EDCs_0.272	Si0006_EDCs_0.242	Si0006_EDCs_0.212	Si0006_EDCs_0.182	Si0006_EDCs_0.151	Si0006_EDCs_0.121	Si0006_EDCs_0.091	Si0006_EDCs_0.061	Si0006_EDCs_0.031	Si0006_EDCs_0.001	Si0006_EDCs_-0.029	Si0006_EDCs_-0.059	Si0006_EDCs_-0.089	Si0006_EDCs_-0.12	Si0006_EDCs_-0.15	Si0006_EDCs_-0.18	Si0006_EDCs_-0.21	Si0006_EDCs_-0.24	Si0006_EDCs_-0.27	Si0006_EDCs_-0.3	Si0006_EDCs_-0.33	Si0006_EDCs_-0.361	Si0006_EDCs_-0.391	Si0006_EDCs_-0.421	Si0006_EDCs_-0.451	Si0006_EDCs_-0.481	Si0006_EDCs_-0.511	Si0006_EDCs_-0.541	Si0006_EDCs_-0.571	Si0006_EDCs_-0.601	Si0006_EDCs_-0.632	Si0006_EDCs_-0.662	Si0006_EDCs_-0.692
15.89	37.56862520449609	72.39083097520198	71.21642064947464	72.03578860768809	107.50810312966549	78.98553629333676	93.70951747206462	115.77354622118025	151.6331022838493	148.526102895783	156.08788099162308	179.48735267231166	166.47171765240284	160.6047641948114	190.14996646147554	181.3613868188735	207.63985199396697	168.7376105911032	203.61120954414324	185.8991139484758	176.95041005622843	162.10105682506335	148.6140542033869	166.67128738858653	168.006520676961	135.5683746729316	134.45461045885915	104.33362657078834	126.31424392011094	123.58939108040975	117.00952195408593	105.73644815110806	141.12519625477864	136.42670713308092	112.71893239407959	95.19784404521124	125.45277982162547	103.10531408603225	15.293075034508664	1.103053213188383
15.9	46.05084468616233	63.70306838523139	68.62824318860768	78.29712264525622	109.50033564475626	84.08349477233452	97.4252296182796	96.68241047393181	100.2898355015903	120.65202727214914	158.56750915351512	137.8659211629302	163.96477824967957	159.28140929197036	168.73497961142579	170.1756742179691	159.08411904561714	189.62723578303843	182.1213543317204	164.12821942120848	147.25605015206065	176.25960958943588	158.18805664018691	150.76356321979776	159.53381862012162	134.30597023338694	128.77463983369609	106.724152188049	128.25975582713338	119.14449945306748	119.52743493701448	129.20814842167482	117.7464097506188	135.59014468459307	109.55560103268637	94.02821961788088	110.17231230531257	120.25166299199908	33.4351776089199	0.8176666927260302
15.91	44.82139922674271	78.32588439776244	73.96155656268924	73.53883313397944	84.13528416681561	77.79251505922694	91.91034799143168	103.30415057646829	102.14895188924828	134.84986045364343	150.37486355046298	163.69853583541257	167.2022278934631	174.50111247989057	142.10176477402246	191.71219901681374	182.80100684953084	190.18987601813149	177.95144128677217	197.58900282906774	149.06329515841696	165.36969737280123	158.29660987585478	141.28864503001034	158.66793644910362	120.98718261266487	98.02239294898577	120.90008417593833	119.48229672568542	133.7022116824059	114.92950415337327	119.86271331812415	130.05281860928676	126.46068208207348	123.841426664213	116.90299059883354	108.0960648370225	86.87661988516292	19.561710563028786	2.109986263043017
15.92	30.544546109368824	73.38916668043781	80.82176478621416	73.04088807598865	90.36786389148887	78.72136758743213	98.839182793364	100.19951908199391	99.55817889675282	131.07565148125346	152.65613594612813	181.20049897474922	171.2704610362682	193.2351058456303	152.15452191876713	157.68381296872394	187.0588675604891	188.27593401840332	192.67995481799815	173.01285972338283	158.72072853548258	182.3571060639337	150.10197101133508	143.78872057934834	141.37493490047035	104.60582261092361	92.37282949010768	104.31853342751413	118.88250878875044	122.91311110151518	127.37662178084076	103.7604383004209	101.41337754381755	128.87336754539461	106.06163753467476	120.64138176626977	137.10201635240233	98.20085507529102	22.11408736528108	18.832996048207693
15.93	36.794940322522436	68.93496969728366	82.68983351677612	84.34872108668809	104.7050702658199	89.09412804555028	79.36716266990689	121.25822748013647	89.17546074809331	132.61509071612122	148.49919263177753	146.89490282244478	157.52242191843877	184.56776660505545	157.1306911892936	197.78553965841877	176.20420069670516	177.55906761248156	151.51137838452325	167.51817001973095	158.9411714941481	170.80985790460167	157.87266193292203	166.02187459384842	116.12396973010898	142.07680021648963	116.63803288474219	88.96783633096442	114.37325739873135	112.59700236639632	132.65577045323795	114.40683144388733	101.74384280582323	122.76721399363146	114.22111076612333	97.33229406649686	130.36432357482272	117.53161660247099	28.612970372664883	2.090820885016491
15.94	33.961406250011436	77.2315088643584	76.7525638783714	86.27236330223477	90.10032111395903	93.33505816647366	90.81762301773746	106.47452050429392	128.25723477931757	133.44362635801744	141.7925276042624	142.69779282532403	191.88220309048597	169.31153083757286	195.00207601800523	183.94604065381105	161.2413907319458	159.17968732520268	187.7961158125885	156.92642418237128	151.08921333410032	162.45576286091605	151.3338228490913	126.55533575089993	139.30763350252994	119.60008763053409	136.8687757188814	140.33820575089862	110.57182992150415	101.22250335499785	96.72212245608037	111.99295045204252	124.16064961153683	139.73242815119957	140.43256770972803	140.7650584564691	123.04762124168997	104.80856896598442	26.97474190701661	-4.56923354365987e-17
15.95	40.014779592490434	66.52589476618982	79.95187463901351	82.12361021667029	86.0057593201068	81.14312658085966	95.24505139421383	90.21987569869484	99.09056866225026	119.96321482563714	134.74043090327933	144.9108991137664	163.25302805777585	157.07986750176335	141.15344450490326	151.590462728566	151.66485577960876	135.33854229814978	175.5415572929674	191.74047001203942	163.72875627601712	161.6488612348415	154.2662037496794	142.0891464513176	158.22163618593038	133.00935170014407	122.73177087464666	116.91732937493126	122.43276204190461	139.01157001476335	128.31768570209496	107.72799366235097	119.16695139349143	151.1156914547452	136.59044365681194	142.59277044635675	113.56892329366173	123.73028572909494	20.582211979593275	2.55196799985639
15.96	35.58236789009253	81.92827769641518	66.08503749735968	76.55798100409417	87.26534746490577	90.94359884986022	96.32640744539516	92.81841439145603	96.86635779608875	107.05285711284294	135.16999724602968	150.94560998937368	176.65594454086312	176.61050968028252	166.65256177179197	169.89726674102172	135.9660707576157	190.88686382787654	173.82869794502068	168.33959097059574	155.85595774482144	141.4114141583797	164.51395837275282	153.30588920748636	119.52884968822268	103.47651988511355	121.16699090788065	116.73717424015797	95.2387454731055	135.06245299825667	127.5339977830375	110.62426229523248	101.1055024243853	128.0454525446827	121.01088012626154	115.20399792847293	134.59480336188605	114.49206261342559	35.06382637899161	2.7228354493672393
15.97	45.610346812111736	68.25779881648954	80.37641555590216	85.57635068412841	75.89098207136196	93.44728508290332	107.607119831158	88.22373923636152	89.8431629104474	93.7105011749287	134.03680479878474	143.7594647626996	144.4992698057876	149.23144033263387	161.2621572029733	164.4015593905368	150.40882019069895	155.281444709772	160.9084436558124	165.47702560388063	149.30448366836566	129.7476364195604	137.60080735541825	155.2643631096616	134.76961062441245	114.0930303661422	122.08388577609186	129.18240591974055	123.82160161216103	105.73553059331795	105.74338625851355	123.91909982397138	102.26585774276025	119.61084121804114	111.92448430316486	124.22538554735178	142.94827922688432	114.72441423396029	39.941846716057455	0.0
15.98	40.014313069562476	64.96694372593379	82.51349023483179	70.36247525429962	82.40252830974062	79.15712929999953	108.45094182158755	111.19162705547996	107.77995927766008	135.6026580469631	121.40684868086112	152.26400721259358	149.64260835242501	174.69482972467245	191.12438489929806	155.24930339866287	134.2343673840062	186.2179534146686	161.72931134646473	168.46519067290666	164.8992859768859	162.47475056899776	152.97037923653838	168.91983709239602	105.0211967282533	123.50814714027236	111.77453717613315	111.37840519139053	124.62398703947969	120.48341135533275	122.6505408340624	138.1636856034062	97.43058837201966	143.91251922663554	144.34774316838684	129.73985925357684	118.2960130359532	85.2465816151281	27.557928246300882	4.6113085846489925
15.99	32.95605262743761	91.88077088521776	69.71168228556571	72.65919214522279	101.28697603593895	81.88277364644405	101.35192779482672	97.68746997428607	105.78388386237472	93.05081664158067	124.0524424598064	156.98890995371502	141.35390538701205	159.96228842066262	143.17623767611673	180.2117676891039	146.58444145185314	177.65875476789222	174.90778106188114	137.79315046561555	141.27388991623945	159.76276664372028	146.9152851898136	144.29480631327672	107.02677032152681	133.55499636274416	106.72920213076388	104.53325648641952	122.14607442601178	130.60324589625267	118.42986065662367	112.76810145878609	114.61661679118492	125.22129740809122	131.96305138900058	150.15191911984175	134.67954167820787	124.01711998483214	39.44742293968315	1.8558619705445663
16.0	43.14517347664588	64.12847853081526	78.78075327482615	77.93518217892014	85.60865641325205	89.81453841771034	98.84908491266026	94.19352387615415	108.33241815263396	93.43618038480778	138.71831172676846	122.13322684148744	155.54754918139284	140.42530616708353	162.56318850396983	139.7065340039331	145.2695897332984	164.15213077386682	158.60743843028118	166.0845747238555	149.77216725505983	139.291142389641	126.94600263043952	133.01893294459558	113.89981390525593	102.49123276945014	85.93116147917432	110.93106464424326	115.13408970346242	108.5855311984395	83.78919877515796	107.65365522635496	97.8429246921612	133.87156389163974	108.7819910452076	128.20665685902446	122.4189830179621	91.83321516447941	29.157471985369106	4.637103869905432
16.01	29.883747166302058	57.605173010027215	72.57411419388241	71.69440061538893	85.90935185592441	83.42769558932993	95.44856888597118	90.57033268411402	97.28756155663767	108.06188585264327	119.94014915222203	123.16855910153166	150.1398341469737	138.551891785557	170.89676635016158	157.5550200516691	160.14031335643904	150.56184789077673	176.36980618322383	149.31620241325083	159.2357835838505	143.75957521930096	114.72221109190727	129.8649074344738	122.56180745667912	111.52869747967516	127.15708767908927	133.26671703309438	117.23789738211158	106.29013666221832	95.1563288735155	129.7264926616075	125.00936035827635	125.87921619762629	104.22648875474013	134.8748352456753	143.58267317335182	97.81531875435567	34.01751481369627	1.700704960398781
16.02	39.95584779154818	70.20947440827358	76.17410658889509	52.17941235666321	87.27842260682168	81.01085988610856	101.92627825785735	73.42992541991478	102.31934567574031	123.45348296413326	100.56710777454525	152.04578687345645	123.84749633894758	137.74069782302848	160.017465406119	170.04581389948837	164.4264308106808	194.72745400277776	157.4487862310215	152.26620497054392	151.61014972917886	127.74063179968343	149.3113886469576	140.62207977540118	103.53008115331271	114.90350736437921	105.84370248171773	108.9221912796662	106.39808248203516	115.92121840409322	112.51515978546846	106.99602211530618	89.0723534492005	122.88649049670913	123.63494661127395	118.10595227189869	120.03456255979839	114.51363248370257	28.278990980019863	1.4170053065542114
16.03	40.14905400368389	62.02809388283764	82.4211889442168	87.18678108685333	76.74800921155015	70.86701263198995	89.1875262061626	85.42757675687028	92.08806437824482	112.87806104182349	110.00029796547071	118.12509887128955	130.59664526836306	143.63952770401164	130.10739117051892	129.06535149761353	126.56323391693975	138.70890410684694	140.17156512694493	169.07248397018807	138.54105468160986	135.6623778733987	119.55727837652853	119.41844134555491	92.46170476322348	88.25949734882892	79.67376151416877	103.96246624350604	106.77215381767923	101.4689679094634	121.96157237452945	118.59839899062905	129.63138816184946	131.22641688309963	116.06522009694882	101.11756001808526	102.56588040465864	104.08783326826791	41.35853250938077	2.6918229488382597
16.04	34.11518443535992	73.81040097060001	83.23791762852656	72.22493092308626	66.24196860041407	70.41928033191094	95.32748439595332	88.75238070315635	86.52964305654712	90.82165599944638	108.56262063951011	121.5436250101244	118.95921744562918	129.84872306998523	145.39023795083338	161.14070015110673	155.1850389465229	164.76637782366342	159.8018334474694	153.85068488796657	139.50411664452076	140.38193999692123	97.18063094921271	113.3630155472616	94.53717621749608	92.62365972285289	99.79678051575685	107.44018205122501	103.31730466477676	125.31573639563786	113.64562766982559	102.99051337711927	135.44753726040818	115.51626924786287	120.11403138458498	112.0389923590169	100.59667727139463	91.28433580233019	29.597583763400728	0.38834688310363136
16.05	35.05347801249545	43.84717443173777	73.24996405420346	81.69455909003246	84.53292820870287	65.72572114496178	78.58945285942309	90.9330018011631	65.77423264019218	96.70254944187624	114.01713068982208	100.41134572772492	120.3948255109693	136.72802028094577	151.94043292330235	150.70411263017556	129.04540865561586	140.07700269481998	133.28653965863154	157.5025178197843	156.30228327791212	109.49221100298818	129.83502547218302	97.12528622309816	82.34537933337631	102.58123695862079	103.901003194576	90.74990981503083	108.0688785997863	101.25374627283543	90.31888587257505	106.92766965981532	105.16287327317059	128.4003509118867	114.43281083985258	103.85309596623588	123.6358669989246	121.69089441280394	35.79464084696984	0.8991208564430634
16.06	43.86644446858481	58.55974473276124	59.38167914447271	66.68121995361206	74.88105112411506	70.27277917743456	77.11230913571718	66.05818049412409	94.88025036362	92.80231726630711	108.44059625713608	103.25627482284727	110.54406769273136	119.51685544606129	119.60907542335822	136.02327176746098	135.0298464561437	128.48068446614067	128.5044365599918	150.1104960776258	144.91007264061292	135.05984780707604	118.1103354113145	104.43873333413666	87.65546999256115	81.5334833306052	93.74244285005119	107.90535518559923	98.96656121351901	127.22452953928251	112.02210908463223	111.07896294756783	96.643764414745	97.22291537298476	110.74039247545664	106.79758568857876	90.49514918217389	88.40529399576792	26.977087395168585	2.577805514805631
16.07	37.99441518794205	67.23480905073275	70.40877411640848	75.5041435408587	82.02299652102847	90.93837911564113	72.93134789146045	78.69297395673514	106.13816612255177	79.6482522842061	93.33147899001366	114.50241091539941	111.78966572364874	107.56079417121798	120.1423968410908	138.03308522449368	124.23175934637507	142.43388106993945	134.9908239537839	136.8982957193659	112.72813006197104	118.2295672974972	111.71352537970826	95.39035046135233	94.57426432900593	91.66011431291103	109.28173245128421	105.90759464706667	105.42132208138287	115.16275172072115	129.599824298004	103.56138718009416	95.75042492324842	88.06537451042706	106.85673852084662	111.10303869146226	104.85393406168126	106.48720025715498	24.91386536039809	2.6819988533193606
16.08	39.03850969786796	46.29982642503706	69.04690992130628	88.19195735593158	75.76400135195291	86.41055512099507	85.17096458372845	61.54380113863678	68.99654689863213	69.72395103823551	93.50203921965924	91.75492168994202	112.5653512111614	118.3156098460971	121.62833350367067	136.4706891661619	133.44268157875626	143.06500819589718	117.48728028973603	121.1466337576644	143.8996063213062	115.26732272797769	80.88328168848246	116.88098787000816	99.7476248542543	93.04175513670451	90.0911549536726	79.21864065785418	95.09530577313755	113.14349041251546	97.55975326401094	89.32293394260869	94.14115877665674	90.54061809719872	91.37895709145756	108.75728909584312	102.86163025519414	89.37670950737183	48.054238321042476	2.157149329319212
16.09	34.25315107878879	66.82485983082866	80.24709687606187	86.28771820165316	79.8637835129903	81.09835156124426	69.80639829830353	73.1190070169546	78.10791966899454	89.77308878913388	95.94955289731294	80.17860599564827	85.96494615368782	104.46212420306743	109.27014825280409	114.22147461890657	96.21988979976331	117.08219081513442	109.9476721495771	129.8684534059904	104.95219053867433	98.5016262976792	106.66293483267978	99.79984875212178	102.50681778387732	92.33752511712247	79.62585244625919	99.203864827491	86.62197761127706	97.68919335346054	104.43967717972983	101.46582965869153	113.95785149585417	111.32071833426221	98.15105085758896	99.2635490599105	112.6912964888146	101.00819299406203	28.11260442011762	2.7130342749957754
16.1	40.02496733311399	67.43995009537007	57.91294997835376	49.60065253945908	63.65011408166613	66.73996011949455	61.942282008143906	101.71788710618992	96.43185599287112	98.50934781063177	86.33324720434318	87.37119652833768	87.3983031125084	100.967811414226	117.74695484070791	95.25206602877596	112.20955206922666	128.53721760669458	114.89584524084933	119.08898888768456	131.27062413766964	87.87207238942267	93.06285356054605	91.40302085009961	84.31713733967207	82.00236032249296	85.73406014942515	95.98650651515507	89.33484421471515	99.37956407997719	85.02500516440983	97.49016012303939	113.32031652063719	116.3750427242657	106.81125101484233	103.9855994929024	84.72061236344065	100.57637308158411	19.75011157961838	0.39099061320458145
16.11	39.80894036874636	81.43579852577022	52.97859229660165	68.94672523181869	55.02984016231203	78.7151185149562	60.87965069748057	62.93961999776553	63.38870615973953	93.00159865886728	89.80170611576855	82.25237227463124	74.49502888813315	90.30058412110908	108.51288421846293	126.79072816244596	98.7250301473523	99.7177238820071	97.13959751790426	107.83126260763987	102.14678974877351	77.63757789895234	87.18950014531286	112.33281183749062	91.6455807125812	83.17598971744903	90.50042094480953	89.93858847029165	100.92593608768074	99.10866668844166	94.95891568369028	111.5328053425631	114.42976217190991	100.42982291274637	86.58953580035401	98.39607739717346	93.4936462560672	87.00842232948717	13.195084139153558	0.13810523948345532
16.12	34.5889564838608	78.01538392925177	69.13757043908069	51.8455234364201	70.63454423455923	96.13761745278622	58.48068679141376	66.15283209712298	84.22960563912729	77.22706770967757	76.91391109215573	71.27033354550791	88.17380892273535	84.84614801716481	94.36537496046498	86.5933779054277	86.24065171990723	118.00270223361285	112.13218898924501	118.85051813424379	106.2654460896944	102.04356446728073	88.75567883271681	76.68004953859521	68.45659947569142	82.56076595421145	90.34293237670977	98.85012712491128	100.36393241442366	96.41451867990011	98.30695151549911	103.18165318428309	106.91559598336327	96.813017670133	82.61592266303434	90.16986622890809	94.18342719737842	96.75498724210237	21.35403224396133	1.0390881413244126
16.13	29.71508740712133	69.9225308399547	62.38725319685006	78.77930906459433	62.381335385136396	67.39419629141673	70.10659822824074	69.73904559544022	71.6195049878539	64.63395004729324	77.70601001590384	82.08300257334628	81.4164762634039	100.31400882920202	98.87342652471577	109.02953229702462	118.72408303307559	107.56399582273187	107.32583363881423	109.48061976223602	106.50416620896227	101.19816488939531	82.67016755679467	81.32240148200002	92.38619631856724	76.61515841455817	75.38000542148468	87.51595485635406	86.9032413309693	94.98703636057078	96.46490671578346	81.33630252618711	98.84218444604494	92.18051427973091	95.20416380023036	88.23818641686682	94.27394003936405	99.21070046778392	36.99684350788109	2.0861011409791934
16.14	28.63864359974909	48.1215816946259	63.038029461165785	84.41837220962505	48.084472781680454	69.18223691261336	67.38729647359015	86.57597373027482	67.00711294875488	63.53471965494541	90.88918583102482	89.76399242521373	86.90821269502212	85.94166731209611	80.89496377713037	111.41877553345851	92.52673184135844	98.0207936236136	96.80273417639839	110.84582524459489	81.8506892811564	91.67445066652904	105.96850561779988	95.7902356521812	88.26883454257491	90.42845907777938	71.6367766337695	80.94798650555481	81.66686582091573	79.9084584198497	89.18452581465125	120.38390585514156	96.85778859973337	91.77285742504962	76.44793698843537	92.80152654567016	90.58064297214692	76.45625189873739	25.22609800000594	0.4252516492278609
16.15	35.77281284967853	70.63217017571066	55.902284307282194	64.22759935007514	60.58100963367515	61.58115734816474	61.1157931897531	86.71563133931976	72.10114656824341	74.3504948986913	69.82187210440908	62.40576508955323	74.68954056938485	73.756011076611	83.80149948352388	80.5602718138082	116.53007653373595	112.26890262337757	84.46513884552427	99.51524840338053	75.40130606033597	85.72437485127502	76.61327038630799	70.7603189280796	80.1426286195839	86.90523106329226	68.15589526755592	76.91951496224324	94.069939206483	84.96421734757575	78.94583784263094	98.42700613114611	88.54427197274082	90.65046729006544	83.97795033790165	100.07460197816452	82.2653973251205	86.71691919574148	30.722056152853895	2.2194227772017513e-17
16.16	39.87194732392925	59.14869288618533	62.02731870388879	75.89229487345592	71.02002856004465	55.76499704384356	57.46268524627645	67.76954068445829	65.43188761822037	70.5202661458881	71.53915605227442	77.20276520335712	87.70844698782908	76.23964433001728	97.23159397726744	78.52733752485918	97.09802966653241	113.97729581827348	102.37421168204294	85.28748706708235	72.4478611411365	83.53453744275949	69.15459837734672	81.48752814121825	84.26709048501579	77.33234726934901	72.59347121712474	67.84105553662167	86.63022209164942	79.76501422777143	90.34497624162836	100.2422461257674	90.68191491544522	85.02892933687298	92.56543712431903	74.72520054021649	93.97687814625223	91.7173671014416	21.488592749429774	1.2244066175496515
16.17	23.082191527244387	56.854606691390615	50.41641184688022	58.35887905959561	59.72371349201981	54.408058049528094	58.55938290300976	68.00906898535735	71.86127436783788	60.203707226763754	72.80342605330742	74.95553351273996	83.69142386962645	80.72676695572605	87.54472336396053	86.84912310175307	84.7868753804234	70.39882918273602	73.43313994985455	77.90361007442925	94.15289898356302	94.26037963252013	78.52386682411749	71.59879570551284	56.831305501854104	79.64308534458092	88.36588222832513	85.7608842345286	77.52372175372234	75.87953381214233	85.35852761641125	87.37613238651359	112.01887531132473	93.99129786345812	83.20897407873692	81.86632400174628	108.49820236491473	79.21598154608677	39.42961818124238	2.6562987277249492
16.18	33.470747821549764	47.94205481824492	57.95832486138065	66.64869203251668	59.59076360011672	47.050456975312585	57.2861537449196	60.82628590986995	55.017399289673286	68.24296751055381	66.9631578639098	61.9760811097334	61.16934407455129	56.017841709618246	60.48524366103381	75.92772735237023	68.68343409682484	87.98797104957904	62.14601123979807	72.26283692579247	66.58765759378896	76.02446250562352	88.77237900612573	65.55566755383136	67.84349594191389	66.55597381466436	74.15205719175258	61.55394963346373	62.52051472381105	94.46561000974256	91.65714446787699	93.8951018933354	81.13963884054256	78.13473615962897	73.89123167762841	98.20340993626814	94.72049527637091	58.10336902502598	21.951663337148037	-4.1452210420653936e-17
16.19	49.600648259836724	56.62874964378693	59.10117318480075	50.49438769128985	59.06927199565707	61.07005914752004	62.630409493039785	61.59060620068277	61.48423845528684	60.58982840338799	73.53133931703263	72.90507824973456	78.1918810567422	72.12083224514889	71.8521140043356	76.21359354499482	82.82798773854843	79.95049708856882	78.18893791657447	81.29568081795199	69.36166317057847	64.12513790830737	76.61689847574945	72.22405691309123	68.11153508004338	54.525961686746115	72.60841946329585	71.74108102943876	73.18945143260957	81.54499992548959	82.79890060046407	95.2792406077687	90.63548357241025	74.91059782310327	83.3440289306437	88.19210342943227	64.99061181987042	64.17339133315788	25.711936777286713	0.20202127143302415
16.2	39.83754413919008	51.46414923944967	52.40433862334097	37.42342503798593	60.706625613131955	56.382922643051515	61.81782836506137	71.28125206580094	53.88099064455568	65.17274197081068	60.41646533987114	58.5381728488106	83.85605887985945	84.12031375384693	78.85265035668533	72.83140513741299	73.99152289402682	70.25461718434885	74.3722090626951	85.29922985482375	83.60540794510966	84.51184981234877	75.79925032708323	54.83134648857613	56.31503719503519	62.34556744953363	82.67889537097959	65.47262347995304	64.91643822530357	84.43467227669835	91.15732054475372	80.75542084685937	64.6253364855433	88.57871373292502	71.19184534025939	77.28766578570368	84.77390828571322	76.26704844885714	27.70972119929867	0.030013931799517363
16.21	37.25425100168607	58.82227610095648	42.41970058455242	34.451630181607484	74.9382074717745	37.786857560148334	52.11623260734909	50.3412113845533	50.23679158897307	64.51701108717317	61.380327847281016	58.81428596974952	72.89050318231189	73.35672560124058	70.26508103075642	73.0369488862967	79.0927672886732	76.76311012125721	65.42114275383521	47.486821994886704	95.1724346677181	69.26850116471896	56.90067972477026	56.60692534521954	52.69384817203251	69.25283890937935	65.26325430782255	88.36178519695193	77.29175534241882	78.56556708333468	86.44044342540003	91.96568378906824	79.80106463229254	90.75940387599641	85.22508521296685	63.39227791756511	73.58338340123731	68.62338577413206	16.809304533424353	0.0
16.22	24.099540616289744	50.732708363639944	61.709700325900535	59.05825796826271	54.6252361759268	70.616651195445	66.13367674211403	52.23291946479338	51.531672020912154	66.27955600757392	65.67985892831261	61.55183448219741	70.13605891751703	56.91368801571095	69.79235966590738	74.63152414338819	75.4935679176842	68.57359374394376	84.09728598481226	63.0695904993976	69.52160474913408	57.52025909401801	71.98481229233276	65.76737227427137	66.57151495871439	84.65253367597816	84.64621571327757	83.24052969070637	66.42045167170622	82.23740891163874	74.77546142732412	88.758236795261	84.00118253902521	74.22888459991812	61.36785476722049	75.5327724274606	74.51537474702576	55.932842882467625	33.56072344345403	1.0371236046512742
16.23	29.496238635083714	51.486126824448995	64.25517265821438	52.48644658585904	53.08346496076923	41.72978191795864	58.24199044704082	39.12054851339524	52.22502734343545	62.44138461766481	68.80469135359199	62.349694408210546	74.85451639750046	67.15385641049001	68.59244564481104	65.64161604063335	72.83380590041112	61.86239301481202	57.32719905033166	67.55849459013916	76.48192715911111	69.05184095845814	69.84830276281593	64.39739420487416	65.41335332247168	68.61756909607088	59.23398221371377	63.048217546052385	73.44232012262162	106.08771956989685	82.79634584172656	62.38006867224195	85.88768692174102	90.91628467651735	78.96345093487744	70.82834098659725	77.28102307193602	52.547308239874425	16.72782566811594	2.682943238865783
16.24	29.4440265054308	47.309490276494415	55.52020167164907	44.6703464587202	66.30721042720067	47.38815098806678	63.89318858461523	49.49175347821703	39.148517264175936	61.1331179490594	60.2106680313998	46.38252568022419	53.69947865505066	72.73704409781362	54.474078938847455	60.569507234821494	62.66103621067975	62.1985807489198	57.9598685974623	71.73139777440198	73.87247262237592	66.1652058575216	49.9066334635277	70.08433683535583	62.608868510221235	66.40071141295866	58.08449359699316	71.4759842110401	64.50148562908677	79.77447782121146	92.54277051615897	69.86617954004213	79.57837822991264	75.13069153177759	68.51447089571268	96.37954431335784	75.58050704392107	54.183937809388	16.94905489189033	0.5710076307233649
16.25	23.03083418342249	51.58801067585992	69.42286098871644	50.20263881568344	31.239754625812488	59.557074319893474	58.71624027336283	58.58902543479667	54.873247675024956	58.48829430838029	55.58212977415135	57.475690929114066	61.963133488622	90.0451258826499	54.51357331837636	59.589931876476726	50.30415576031183	67.58703565511627	59.48043517093837	70.4293793783284	66.8657982770363	49.203234775484965	73.26099174757836	77.2508896774416	61.403296554369916	62.88873497025632	59.44360825388802	55.28953201881312	97.6371562862764	70.3280556475521	69.86682050546392	80.82486677727687	71.77999637728614	67.63474754112819	75.84366577463231	72.01052008564604	71.35978506624244	59.591565633433234	18.208024874552915	0.022450134389950003
16.26	25.560786248580968	56.61024992762142	48.058047552485704	55.405232356783486	59.85530416124799	60.18168601675106	69.85279208050746	71.24121907264991	57.51030482343601	38.97478507485561	58.22384087004646	71.53222235819344	60.487930574900076	59.74357765416882	53.69353725223969	68.83256373563557	65.32091814698857	81.51918021432942	69.68390450398458	62.97966775235285	83.42177881383972	57.615461975618764	53.50001986579944	56.19298653781798	70.77320586501395	71.33429752341021	64.87214642480592	76.34677411644297	66.67072937353677	82.39562591685703	65.88092071961948	99.11317835475805	62.446945492850894	77.1939787378052	81.9796541750045	90.74441349843086	69.25759409752735	68.89625445074537	27.435599276401557	1.0827248513582834
