
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_EF_Offset.txt
Total Actual Scans	10
X Label	Binding Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	-0.0
X Max	5.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0 -8800.0 -9200.0 -9600.0 -10000.0 -10400.0 -10800.0 -11200.0 -11600.0 -12000.0 -12400.0 -12800.0 -13200.0 -13600.0 -14000.0 -14400.0 -14800.0 -15200.0 -15600.0
 
DATA:
EF_Si0006_EDCs	Si0006_EDCs_0.483_Offseted	Si0006_EDCs_0.453_Offseted	Si0006_EDCs_0.422_Offseted	Si0006_EDCs_0.392_Offseted	Si0006_EDCs_0.362_Offseted	Si0006_EDCs_0.332_Offseted	Si0006_EDCs_0.302_Offseted	Si0006_EDCs_0.272_Offseted	Si0006_EDCs_0.242_Offseted	Si0006_EDCs_0.212_Offseted	Si0006_EDCs_0.182_Offseted	Si0006_EDCs_0.151_Offseted	Si0006_EDCs_0.121_Offseted	Si0006_EDCs_0.091_Offseted	Si0006_EDCs_0.061_Offseted	Si0006_EDCs_0.031_Offseted	Si0006_EDCs_0.001_Offseted	Si0006_EDCs_-0.029_Offseted	Si0006_EDCs_-0.059_Offseted	Si0006_EDCs_-0.089_Offseted	Si0006_EDCs_-0.12_Offseted	Si0006_EDCs_-0.15_Offseted	Si0006_EDCs_-0.18_Offseted	Si0006_EDCs_-0.21_Offseted	Si0006_EDCs_-0.24_Offseted	Si0006_EDCs_-0.27_Offseted	Si0006_EDCs_-0.3_Offseted	Si0006_EDCs_-0.33_Offseted	Si0006_EDCs_-0.361_Offseted	Si0006_EDCs_-0.391_Offseted	Si0006_EDCs_-0.421_Offseted	Si0006_EDCs_-0.451_Offseted	Si0006_EDCs_-0.481_Offseted	Si0006_EDCs_-0.511_Offseted	Si0006_EDCs_-0.541_Offseted	Si0006_EDCs_-0.571_Offseted	Si0006_EDCs_-0.601_Offseted	Si0006_EDCs_-0.632_Offseted	Si0006_EDCs_-0.662_Offseted	Si0006_EDCs_-0.692_Offseted
1.15	28.77668708800654	-324.8149750433838	-721.5220794077514	-1125.01985535387	-1518.9452017298843	-1915.2566525780328	-2312.4485987180374	-2696.579597402625	-3082.037460325591	-3476.2168423428684	-3832.4558869362595	-4256.479857871997	-4637.398107839891	-5026.487649708709	-5384.564791235308	-5831.433301942059	-6220.333256150909	-6604.2847005573785	-7021.992850492629	-7416.197117167837	-7835.1640798669205	-8237.214316651764	-8657.057671729051	-9043.012592522784	-9459.152934599093	-9843.21948836053	-10277.037529028146	-10671.912589166308	-11070.618004264428	-11478.493122415624	-11856.738655581878	-12295.461233610211	-12702.884128830321	-13075.29678099855	-13504.667983335594	-13886.103933421413	-14274.769493573944	-14693.3700556803	-15177.761718034364	-15599.59452258369
1.14	39.79116628759021	-331.00223860806267	-742.5024703664744	-1115.7997985036313	-1493.025568420152	-1920.0643193324042	-2317.4068521322897	-2672.0780781569933	-3083.7156300357415	-3449.004010845173	-3840.050841215328	-4263.626900642538	-4627.726999869975	-5020.465784603106	-5394.430642723923	-5827.620334392205	-6210.560302781704	-6647.852667492163	-7045.872689461651	-7417.19817750459	-7827.010906382316	-8226.902124340926	-8635.310519843053	-9037.730661203948	-9452.710281711947	-9852.370520922765	-10259.384206666191	-10667.289677350995	-11069.406418476132	-11470.844832146402	-11865.118772912392	-12271.01831010915	-12683.327237925267	-13069.759759462962	-13493.004037871877	-13859.957499829565	-14296.757235683152	-14709.878884635636	-15170.36784440507	-15599.111099169606
1.13	35.3506879069871	-333.1797678418205	-716.6677738731403	-1118.5499509663055	-1494.562150998322	-1910.7840696826152	-2309.6857103553125	-2697.32289894876	-3091.6048917954686	-3464.749362890594	-3850.3737345635755	-4275.800455051205	-4608.039605348404	-5028.98726350688	-5415.805718530504	-5811.56349241717	-6209.8896103434	-6618.29384147889	-7027.568236076086	-7429.742504276487	-7852.81632352609	-8239.77306863985	-8664.281831772703	-9051.28166741365	-9448.54661661228	-9858.084175342012	-10269.647998694423	-10660.497058146586	-11072.324385202664	-11475.901990900962	-11869.992983401035	-12271.353362396243	-12672.66468977337	-13074.849795026714	-13493.06972278311	-13873.587973044116	-14279.43711642072	-14711.383287681587	-15172.756483151159	-15599.90951484867
1.12	32.93128349299552	-326.9259660420463	-723.0924092560983	-1128.953991117696	-1523.9539964959401	-1917.9072459813915	-2307.5269812129513	-2699.874966165135	-3092.468393229526	-3457.589865484348	-3838.978777256417	-4230.283270066203	-4640.9001242250315	-5029.42678077944	-5418.9008540353625	-5789.157892419258	-6225.428472275172	-6615.169349493349	-7024.80156226363	-7413.386373086893	-7834.635219162221	-8252.94180123933	-8648.48590498612	-9047.444275817938	-9448.440173293202	-9860.479716902339	-10282.72122674521	-10675.47393125934	-11095.12078344421	-11502.987070216479	-11860.285439518122	-12257.653028303537	-12682.92821212844	-13064.34372727908	-13480.85288960377	-13886.074116333124	-14262.701267753013	-14688.355780869118	-15165.78135760199	-15598.127267726955
1.11	37.56862520449609	-327.609169024798	-728.7835793505253	-1127.9642113923119	-1492.4918968703346	-1921.0144637066633	-2306.290482527935	-2684.2264537788196	-3048.3668977161506	-3451.473897104217	-3843.912119008377	-4220.512647327689	-4633.528282347597	-5039.395235805188	-5409.850033538524	-5818.638613181127	-6192.360148006033	-6631.2623894088965	-6996.388790455857	-7414.100886051524	-7823.049589943772	-8237.898943174936	-8651.385945796614	-9033.328712611414	-9431.993479323039	-9864.431625327068	-10265.545389541141	-10695.666373429212	-11073.685756079889	-11476.41060891959	-11882.990478045915	-12294.263551848891	-12658.87480374522	-13063.573292866919	-13487.28106760592	-13904.802155954789	-14274.547220178374	-14696.894685913967	-15184.70692496549	-15598.896946786812
1.1	46.05084468616233	-336.2969316147686	-731.3717568113923	-1121.7028773547438	-1490.4996643552438	-1915.9165052276655	-2302.5747703817206	-2703.3175895260683	-3099.7101644984095	-3479.347972727851	-3841.432490846485	-4262.13407883707	-4636.0352217503205	-5040.718590708029	-5431.265020388574	-5829.824325782031	-6240.915880954383	-6610.3727642169615	-7017.878645668279	-7435.871780578792	-7852.74394984794	-8223.740390410565	-8641.811943359813	-9049.236436780202	-9440.466181379878	-9865.694029766613	-10271.225360166303	-10693.27584781195	-11071.740244172866	-11480.855500546933	-11880.472565062986	-12270.791851578326	-12682.253590249382	-13064.409855315407	-13490.444398967313	-13905.971780382119	-14289.827687694687	-14679.748337008	-15166.56482239108	-15599.182333307273
1.09	44.82139922674271	-321.6741156022376	-726.0384434373108	-1126.4611668660204	-1515.8647158331844	-1922.2074849407732	-2308.0896520085685	-2696.695849423532	-3097.851048110752	-3465.1501395463565	-3849.625136449537	-4236.301464164588	-4632.797772106537	-5025.49888752011	-5457.898235225977	-5808.287800983187	-6217.1989931504695	-6609.810123981869	-7022.048558713228	-7402.410997170932	-7850.936704841583	-8234.630302627198	-8641.703390124145	-9058.71135496999	-9441.332063550897	-9879.012817387335	-10301.977607051014	-10679.099915824061	-11080.517703274314	-11466.297788317594	-11885.070495846627	-12280.137286681877	-12669.947181390713	-13073.539317917926	-13476.158573335788	-13883.097009401166	-14291.903935162978	-14713.123380114837	-15180.438289436972	-15597.890013736956
1.08	30.544546109368824	-326.6108333195622	-719.1782352137858	-1126.9591119240113	-1509.632136108511	-1921.278632412568	-2301.160817206636	-2699.800480918006	-3100.441821103247	-3468.9243485187467	-3847.343864053872	-4218.799501025251	-4628.729538963732	-5006.764894154369	-5447.845478081233	-5842.316187031276	-6212.9411324395105	-6611.724065981597	-7007.320045182002	-7426.9871402766175	-7841.2792714645175	-8217.642893936067	-8649.898028988664	-9056.211279420651	-9458.62506509953	-9895.394177389077	-10307.627170509892	-10695.681466572485	-11081.11749121125	-11477.086888898484	-11872.62337821916	-12296.239561699578	-12698.586622456183	-13071.126632454605	-13493.938362465326	-13879.35861823373	-14262.897983647597	-14701.79914492471	-15177.88591263472	-15581.167003951792
1.07	36.794940322522436	-331.0650303027163	-717.3101664832238	-1115.651278913312	-1495.2949297341802	-1910.9058719544498	-2320.632837330093	-2678.7417725198634	-3110.8245392519066	-3467.3849092838786	-3851.5008073682225	-4253.105097177555	-4642.477578081562	-5015.432233394945	-5442.869308810707	-5802.214460341581	-6223.795799303295	-6622.440932387519	-7048.488621615476	-7432.481829980269	-7841.058828505852	-8229.190142095398	-8642.127338067077	-9033.97812540615	-9483.87603026989	-9857.92319978351	-10283.361967115257	-10711.032163669035	-11085.62674260127	-11487.402997633604	-11867.344229546761	-12285.593168556112	-12698.256157194177	-13077.232786006369	-13485.778889233876	-13902.667705933503	-14269.635676425178	-14682.468383397529	-15171.387029627334	-15597.909179114984
1.06	33.961406250011436	-322.7684911356416	-723.2474361216287	-1113.7276366977653	-1509.8996788860409	-1906.6649418335264	-2309.1823769822627	-2693.525479495706	-3071.7427652206825	-3466.5563736419826	-3858.2074723957376	-4257.302207174676	-4608.117796909514	-5030.688469162427	-5404.997923981995	-5816.053959346189	-6238.758609268054	-6640.820312674798	-7012.203884187412	-7443.073575817629	-7848.9107866659	-8237.544237139084	-8648.666177150908	-9073.4446642491	-9460.69236649747	-9880.399912369467	-10263.131224281118	-10659.661794249101	-11089.428170078496	-11498.777496645002	-11903.27787754392	-12288.007049547958	-12675.839350388464	-13060.2675718488	-13459.567432290272	-13859.234941543531	-14276.95237875831	-14695.191431034016	-15173.025258092983	-15600.0
1.05	40.014779592490434	-333.4741052338102	-720.0481253609864	-1117.8763897833296	-1513.9942406798932	-1918.8568734191404	-2304.754948605786	-2709.780124301305	-3100.9094313377495	-3480.0367851743626	-3865.2595690967205	-4255.089100886234	-4636.746971942224	-5042.920132498237	-5458.846555495097	-5848.409537271434	-6248.335144220391	-6664.66145770185	-7024.458442707032	-7408.25952998796	-7836.2712437239825	-8238.351138765158	-8645.73379625032	-9057.910853548683	-9441.77836381407	-9866.990648299856	-10277.268229125353	-10683.082670625068	-11077.567237958096	-11460.988429985237	-11871.682314297905	-12292.27200633765	-12680.833048606508	-13048.884308545255	-13463.409556343187	-13857.407229553643	-14286.431076706338	-14676.269714270906	-15179.417788020406	-15597.448032000144
1.04	35.58236789009253	-318.0717223035848	-733.9149625026403	-1123.4420189959058	-1512.7346525350943	-1909.0564011501397	-2303.673592554605	-2707.181585608544	-3103.133642203911	-3492.947142887157	-3864.8300027539703	-4249.054390010626	-4623.344055459137	-5023.389490319718	-5433.347438228208	-5830.102733258978	-6264.033929242384	-6609.113136172124	-7026.17130205498	-7431.660409029404	-7844.144042255179	-8258.58858584162	-8635.486041627248	-9046.694110792514	-9480.471150311778	-9896.523480114887	-10278.833009092119	-10683.262825759843	-11104.761254526895	-11464.937547001744	-11872.466002216963	-12289.375737704768	-12698.894497575615	-13071.954547455318	-13478.989119873739	-13884.796002071527	-14265.405196638114	-14685.507937386574	-15164.936173621008	-15597.277164550633
1.03	45.610346812111736	-331.7422011835105	-719.6235844440978	-1114.4236493158717	-1524.109017928638	-1906.5527149170966	-2292.392880168842	-2711.7762607636387	-3110.1568370895525	-3506.2894988250714	-3865.963195201215	-4256.240535237301	-4655.500730194212	-5050.768559667366	-5438.737842797027	-5835.598440609463	-6249.591179809301	-6644.718555290228	-7039.091556344188	-7434.522974396119	-7850.695516331634	-8270.25236358044	-8662.399192644581	-9044.735636890338	-9465.230389375587	-9885.906969633857	-10277.916114223908	-10670.81759408026	-11076.17839838784	-11494.264469406682	-11894.256613741487	-12276.080900176028	-12697.734142257239	-13080.389158781958	-13488.075515696835	-13875.774614452648	-14257.051720773115	-14685.27558576604	-15160.058153283942	-15600.0
1.02	40.014313069562476	-335.0330562740662	-717.4865097651682	-1129.6375247457004	-1517.5974716902595	-1920.8428707000005	-2291.5490581784125	-2688.80837294452	-3092.22004072234	-3464.397341953037	-3878.593151319139	-4247.735992787407	-4650.357391647575	-5025.305170275327	-5408.875615100702	-5844.750696601337	-6265.765632615994	-6613.782046585331	-7038.270688653535	-7431.534809327093	-7835.100714023114	-8237.525249431003	-8647.029620763462	-9031.080162907603	-9494.978803271746	-9876.491852859728	-10288.225462823866	-10688.62159480861	-11075.37601296052	-11479.516588644667	-11877.349459165938	-12261.836314396594	-12702.569411627981	-13056.087480773365	-13455.652256831614	-13870.260140746423	-14281.703986964047	-14714.753418384871	-15172.4420717537	-15595.388691415352
1.01	32.95605262743761	-308.11922911478223	-730.2883177144342	-1127.3408078547773	-1498.713023964061	-1918.117226353556	-2298.6480722051733	-2702.312530025714	-3094.2161161376252	-3506.9491833584193	-3875.9475575401934	-4243.011090046285	-4658.646094612988	-5040.037711579337	-5456.823762323883	-5819.788232310896	-6253.415558548147	-6622.341245232108	-7025.092218938119	-7462.206849534385	-7858.72611008376	-8240.23723335628	-8653.084714810186	-9055.705193686723	-9492.973229678473	-9866.445003637256	-10293.270797869236	-10695.46674351358	-11077.853925573989	-11469.396754103747	-11881.570139343376	-12287.231898541213	-12685.383383208815	-13074.77870259191	-13468.036948611	-13849.848080880158	-14265.320458321792	-14675.982880015168	-15160.552577060316	-15598.144138029455
1.0	43.14517347664588	-335.87152146918476	-721.2192467251739	-1122.06481782108	-1514.391343586748	-1910.1854615822897	-2301.15091508734	-2705.8064761238456	-3091.667581847366	-3506.563819615192	-3861.2816882732313	-4277.866773158513	-4644.452450818607	-5059.574693832917	-5437.43681149603	-5860.2934659960665	-6254.730410266701	-6635.847869226133	-7041.392561569719	-7433.915425276145	-7850.22783274494	-8260.70885761036	-8673.053997369561	-9066.981067055405	-9486.100186094744	-9897.508767230549	-10314.068838520825	-10689.068935355757	-11084.865910296538	-11491.41446880156	-11916.210801224843	-12292.346344773645	-12702.15707530784	-13066.12843610836	-13491.218008954793	-13871.793343140975	-14277.581016982038	-14708.166784835521	-15170.842528014631	-15595.362896130095
0.99	29.883747166302058	-342.3948269899728	-727.4258858061175	-1128.305599384611	-1514.0906481440757	-1916.57230441067	-2304.5514311140287	-2709.429667315886	-3102.7124384433623	-3491.938114147357	-3880.059850847778	-4276.831440898468	-4649.860165853026	-5061.448108214443	-5429.103233649838	-5842.444979948331	-6239.859686643561	-6649.438152109224	-7023.630193816776	-7450.683797586749	-7840.76421641615	-8256.240424780699	-8685.277788908093	-9070.135092565526	-9477.43819254332	-9888.471302520325	-10272.84291232091	-10666.733282966905	-11082.762102617888	-11493.709863337781	-11904.843671126484	-12270.273507338392	-12674.990639641725	-13074.120783802373	-13495.77351124526	-13865.125164754325	-14256.417326826648	-14702.184681245644	-15165.982485186303	-15598.299295039602
0.98	39.95584779154818	-329.7905255917264	-723.825893411105	-1147.8205876433367	-1512.7215773931782	-1918.9891401138914	-2298.073721742143	-2726.570074580085	-3097.6806543242596	-3476.5465170358666	-3899.432892225455	-4247.954213126543	-4676.152503661053	-5062.259302176972	-5439.982534593881	-5829.954186100512	-6235.573569189319	-6605.272545997223	-7042.551213768978	-7447.733795029456	-7848.389850270821	-8272.259368200317	-8650.688611353042	-9059.377920224599	-9496.469918846688	-9885.096492635621	-10294.156297518282	-10691.077808720334	-11093.601917517964	-11484.078781595907	-11887.48484021453	-12293.003977884693	-12710.9276465508	-13077.113509503291	-13476.365053388727	-13881.894047728101	-14279.965437440202	-14685.486367516298	-15171.72100901998	-15598.582994693446
0.97	40.14905400368389	-337.97190611716235	-717.5788110557833	-1112.8132189131466	-1523.2519907884498	-1929.1329873680102	-2310.8124737938374	-2714.57242324313	-3107.911935621755	-3487.1219389581765	-3889.9997020345295	-4281.87490112871	-4669.403354731637	-5056.360472295988	-5469.892608829481	-5870.934648502386	-6273.43676608306	-6661.291095893153	-7059.828434873055	-7430.927516029812	-7861.45894531839	-8264.3376221266	-8680.44272162347	-9080.581558654445	-9507.538295236776	-9911.740502651171	-10320.326238485832	-10696.037533756495	-11093.22784618232	-11498.531032090537	-11878.03842762547	-12281.401601009371	-12670.36861183815	-13068.773583116901	-13483.934779903051	-13898.882439981915	-14297.434119595342	-14695.912166731732	-15158.64146749062	-15597.308177051162
0.96	34.11518443535992	-326.1895990294	-716.7620823714734	-1127.7750690769137	-1533.758031399586	-1929.5807196680892	-2304.6725156040466	-2711.247619296844	-3113.4703569434528	-3509.178344000554	-3891.43737936049	-4278.456374989875	-4681.040782554371	-5070.151276930015	-5454.609762049166	-5838.859299848893	-6244.814961053477	-6635.233622176336	-7040.198166552531	-7446.149315112033	-7860.495883355479	-8259.618060003078	-8702.819369050787	-9086.636984452738	-9505.462823782504	-9907.376340277147	-10300.203219484243	-10692.559817948775	-11096.682695335223	-11474.684263604362	-11886.354372330174	-12297.009486622881	-12664.552462739592	-13084.483730752137	-13479.885968615416	-13887.961007640983	-14299.403322728605	-14708.715664197669	-15170.402416236599	-15599.611653116895
0.95	35.05347801249545	-356.15282556826224	-726.7500359457965	-1118.3054409099675	-1515.467071791297	-1934.2742788550381	-2321.410547140577	-2709.0669981988367	-3134.225767359808	-3503.2974505581237	-3885.982869310178	-4299.588654272275	-4679.605174489031	-5063.271979719054	-5448.059567076698	-5849.295887369824	-6270.954591344384	-6659.92299730518	-7066.713460341369	-7442.497482180216	-7843.6977167220875	-8290.507788997013	-8670.164974527817	-9102.874713776902	-9517.654620666624	-9897.41876304138	-10296.098996805424	-10709.250090184969	-11091.931121400214	-11498.746253727164	-11909.681114127425	-12293.072330340185	-12694.83712672683	-13071.599649088113	-13485.567189160147	-13896.146904033763	-14276.364133001076	-14678.309105587196	-15164.20535915303	-15599.100879143556
0.94	43.86644446858481	-341.44025526723874	-740.6183208555273	-1133.318780046388	-1525.118948875885	-1929.7272208225654	-2322.887690864283	-2733.941819505876	-3105.11974963638	-3507.197682733693	-3891.559403742864	-4296.743725177153	-4689.455932307269	-5080.4831445539385	-5480.390924576642	-5863.976728232539	-6264.970153543856	-6671.519315533859	-7071.4955634400085	-7449.889503922374	-7855.089927359387	-8264.940152192925	-8681.889664588685	-9095.561266665864	-9512.344530007438	-9918.466516669394	-10306.25755714995	-10692.0946448144	-11101.03343878648	-11472.775470460718	-11887.977890915368	-12288.921037052432	-12703.356235585255	-13102.777084627016	-13489.259607524544	-13893.202414311421	-14309.504850817826	-14711.594706004233	-15173.02291260483	-15597.422194485194
0.93	37.99441518794205	-332.76519094926726	-729.5912258835915	-1124.4958564591414	-1517.9770034789715	-1909.061620884359	-2327.0686521085395	-2721.307026043265	-3093.861833877448	-3520.351747715794	-3906.6685210099863	-4285.497589084601	-4688.210334276351	-5092.439205828782	-5479.857603158909	-5861.966914775507	-6275.768240653625	-6657.566118930061	-7065.009176046216	-7463.101704280634	-7887.271869938029	-8281.770432702502	-8688.286474620292	-9104.609649538648	-9505.425735670993	-9908.339885687088	-10290.718267548717	-10694.092405352932	-11094.578677918616	-11484.837248279278	-11870.400175701996	-12296.438612819906	-12704.249575076752	-13111.934625489574	-13493.143261479154	-13888.896961308537	-14295.14606593832	-14693.512799742844	-15175.086134639601	-15597.318001146681
0.92	39.03850969786796	-353.70017357496295	-730.9530900786938	-1111.8080426440683	-1524.2359986480471	-1913.589444879005	-2314.8290354162714	-2738.456198861363	-3131.003453101368	-3530.2760489617644	-3906.4979607803407	-4308.245078310058	-4687.434648788839	-5081.684390153903	-5478.371666496329	-5863.529310833838	-6266.5573184212435	-6656.9349918041025	-7082.512719710264	-7478.853366242336	-7856.100393678694	-8284.732677272023	-8719.116718311518	-9083.119012129991	-9500.252375145747	-9906.958244863295	-10309.908845046328	-10720.781359342145	-11104.904694226863	-11486.856509587484	-11902.440246735989	-12310.677066057391	-12705.858841223344	-13109.459381902801	-13508.621042908542	-13891.242710904156	-14297.138369744805	-14710.623290492627	-15151.945761678957	-15597.84285067068
0.91	34.25315107878879	-333.17514016917136	-719.7529031239382	-1113.7122817983468	-1520.1362164870097	-1918.9016484387557	-2330.1936017016965	-2726.8809929830454	-3121.8920803310057	-3510.226911210866	-3904.050447102687	-4319.8213940043515	-4714.035053846313	-5095.537875796933	-5490.729851747196	-5885.7785253810935	-6303.780110200237	-6682.917809184865	-7090.052327850422	-7470.13154659401	-7895.047809461325	-8301.498373702321	-8693.33706516732	-9100.200151247878	-9497.493182216123	-9907.662474882878	-10320.37414755374	-10700.79613517251	-11113.378022388722	-11502.31080664654	-11895.56032282027	-12298.534170341309	-12686.042148504146	-13088.679281665738	-13501.848949142412	-13900.736450940089	-14287.308703511186	-14698.991807005938	-15171.887395579883	-15597.286965725005
0.9	40.02496733311399	-332.5600499046299	-742.0870500216463	-1150.3993474605409	-1536.349885918334	-1933.2600398805055	-2338.057717991856	-2698.28211289381	-3103.568144007129	-3501.490652189368	-3913.666752795657	-4312.628803471663	-4712.601696887492	-5099.032188585774	-5482.253045159292	-5904.7479339712245	-6287.790447930774	-6671.462782393305	-7085.10415475915	-7480.9110111123155	-7868.72937586233	-8312.127927610578	-8706.937146439453	-9108.596979149901	-9515.682862660327	-9917.997639677507	-10314.265939850575	-10704.013493484845	-11110.665155785286	-11500.620435920022	-11914.97499483559	-12302.50983987696	-12686.679683479362	-13083.624957275735	-13493.188748985158	-13896.014400507098	-14315.27938763656	-14699.423626918417	-15180.249888420381	-15599.609009386795
0.89	39.80894036874636	-318.5642014742298	-747.0214077033984	-1131.0532747681814	-1544.970159837688	-1921.2848814850438	-2339.1203493025196	-2737.0603800022345	-3136.6112938402603	-3506.9984013411326	-3910.1982938842316	-4317.747627725369	-4725.504971111867	-5109.699415878891	-5491.487115781537	-5873.209271837554	-6301.274969852648	-6700.282276117993	-7102.860402482096	-7492.1687373923605	-7897.853210251226	-8322.362422101047	-8712.810499854688	-9087.66718816251	-9508.35441928742	-9916.824010282551	-10309.499579055191	-10710.061411529708	-11099.07406391232	-11500.891333311558	-11905.04108431631	-12288.467194657436	-12685.57023782809	-13099.570177087253	-13513.410464199646	-13901.603922602826	-14306.506353743933	-14712.991577670513	-15186.804915860846	-15599.861894760517
0.88	34.5889564838608	-321.98461607074825	-730.8624295609193	-1148.15447656358	-1529.3654557654409	-1903.8623825472139	-2341.519313208586	-2733.847167902877	-3115.7703943608726	-3522.7729322903224	-3923.0860889078444	-4328.729666454492	-4711.826191077264	-5115.1538519828355	-5505.634625039535	-5913.406622094572	-6313.759348280093	-6681.997297766387	-7087.867811010755	-7481.149481865757	-7893.734553910305	-8297.956435532718	-8711.244321167283	-9123.319950461404	-9531.543400524308	-9917.439234045789	-10309.65706762329	-10701.149872875088	-11099.636067585576	-11503.5854813201	-11901.693048484502	-12296.818346815717	-12693.084404016638	-13103.186982329868	-13517.384077336965	-13909.830133771093	-14305.816572802622	-14703.245012757898	-15178.645967756038	-15598.960911858676
0.87	29.71508740712133	-330.0774691600453	-737.6127468031499	-1121.2206909354056	-1537.6186646148635	-1932.6058037085832	-2329.8934017717593	-2730.26095440456	-3128.380495012146	-3535.366049952707	-3922.2939899840962	-4317.916997426653	-4718.583523736596	-5099.685991170798	-5501.126573475284	-5890.970467702975	-6281.275916966924	-6692.436004177268	-7092.674166361186	-7490.519380237764	-7893.4958337910375	-8298.801835110604	-8717.329832443205	-9118.677598518	-9507.613803681434	-9923.384841585443	-10324.619994578516	-10712.484045143647	-11113.096758669031	-11505.012963639429	-11903.535093284216	-12318.663697473812	-12701.157815553956	-13107.819485720269	-13504.79583619977	-13911.761813583133	-14305.726059960636	-14700.789299532216	-15163.00315649212	-15597.91389885902
0.86	28.63864359974909	-351.8784183053741	-736.9619705388342	-1115.581627790375	-1551.9155272183195	-1930.8177630873865	-2332.61270352641	-2713.4240262697253	-3132.992887051245	-3536.4652803450545	-3909.110814168975	-4310.2360075747865	-4713.0917873049775	-5114.058332687904	-5519.10503622287	-5888.581224466541	-6307.473268158642	-6701.979206376386	-7103.197265823602	-7489.154174755405	-7918.1493107188435	-8308.325549333471	-8694.0314943822	-9104.20976434782	-9511.731165457426	-9909.571540922221	-10328.36322336623	-10719.052013494445	-11118.333134179084	-11520.09154158015	-11910.815474185349	-12279.616094144858	-12703.142211400267	-13108.22714257495	-13523.552063011564	-13907.19847345433	-14309.419357027853	-14723.543748101263	-15174.773901999994	-15599.574748350773
0.85	35.77281284967853	-329.36782982428934	-744.0977156927178	-1135.7724006499247	-1539.4189903663248	-1938.4188426518353	-2338.8842068102467	-2713.2843686606802	-3127.8988534317564	-3525.649505101309	-3930.178127895591	-4337.594234910447	-4725.310459430615	-5126.243988923389	-5516.198500516476	-5919.439728186192	-6283.469923466264	-6687.7310973766225	-7115.534861154476	-7500.484751596619	-7924.598693939664	-8314.275625148724	-8723.386729613692	-9129.23968107192	-9519.857371380416	-9913.094768936708	-10331.844104732445	-10723.080485037757	-11105.930060793517	-11515.035782652425	-11921.054162157368	-12301.572993868855	-12711.455728027258	-13109.349532709935	-13516.022049662099	-13899.925398021836	-14317.73460267488	-14713.283080804258	-15169.277943847146	-15600.0
0.84	39.87194732392925	-340.85130711381464	-737.9726812961112	-1124.107705126544	-1528.9799714399553	-1944.2350029561564	-2342.5373147537234	-2732.230459315542	-3134.5681123817794	-3529.479733854112	-3928.4608439477256	-4322.797234796642	-4712.291553012171	-5123.760355669982	-5502.768406022733	-5921.472662475141	-6302.901970333468	-6686.022704181726	-7097.625788317957	-7514.712512932918	-7927.552138858863	-8316.46546255724	-8730.845401622653	-9118.512471858781	-9515.732909514983	-9922.667652730652	-10327.406528782874	-10732.15894446338	-11113.36977790835	-11520.23498577223	-11909.655023758372	-12299.757753874233	-12709.318085084555	-13114.971070663127	-13507.434562875682	-13925.274799459783	-14306.023121853748	-14708.282632898557	-15178.51140725057	-15598.77559338245
0.83	23.082191527244387	-343.1453933086094	-749.5835881531198	-1141.6411209404043	-1540.27628650798	-1945.591941950472	-2341.44061709699	-2731.9909310146427	-3128.1387256321623	-3539.796292773236	-3927.1965739466928	-4325.04446648726	-4716.308576130374	-5119.273233044274	-5512.455276636039	-5913.150876898247	-6315.213124619577	-6729.601170817264	-7126.566860050146	-7522.096389925571	-7905.847101016437	-8305.73962036748	-8721.476133175882	-9128.401204294487	-9543.168694498147	-9920.356914655418	-10311.634117771675	-10714.239115765471	-11122.476278246279	-11524.120466187858	-11914.64147238359	-12312.623867613487	-12687.981124688675	-13106.008702136542	-13516.791025921262	-13918.133675998253	-14291.501797635085	-14720.784018453913	-15160.570381818758	-15597.343701272275
