
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.0
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_0_PESImage/Si0006_EDCs_EF.txt
Total Actual Scans	10
X Label	Binding Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	-0.11
X Max	4.89
X Step	0.01
Ek Offset	0.0
Y Min	-0.626041
Y Max	0.605373
Y Step	0.001774
Ang or Posi Offset	0.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	16.89
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.576983 0.521978 0.466972 0.411967 0.356961 0.3019555 0.24695 0.191944 0.136939 0.081933 0.026928 -0.028078 -0.083083 -0.138089 -0.193094 -0.2481 -0.303105 -0.358111 -0.4131165 -0.468122 -0.523128 -0.578133
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0
 
DATA:
EF_Si0006_EDCs	Si0006_EDCs_0.577	Si0006_EDCs_0.522	Si0006_EDCs_0.467	Si0006_EDCs_0.412	Si0006_EDCs_0.357	Si0006_EDCs_0.302	Si0006_EDCs_0.247	Si0006_EDCs_0.192	Si0006_EDCs_0.137	Si0006_EDCs_0.082	Si0006_EDCs_0.027	Si0006_EDCs_-0.028	Si0006_EDCs_-0.083	Si0006_EDCs_-0.138	Si0006_EDCs_-0.193	Si0006_EDCs_-0.248	Si0006_EDCs_-0.303	Si0006_EDCs_-0.358	Si0006_EDCs_-0.413	Si0006_EDCs_-0.468	Si0006_EDCs_-0.523	Si0006_EDCs_-0.578
1.07	79.83690853641804	128.87481314361798	159.19888967000867	145.4520895645149	231.9205787341074	274.2158806289575	306.0514289548261	289.88305675357384	334.7794295141069	371.4921232742625	336.1679073664732	318.92812936251084	269.63293450891274	237.92775795252933	277.008384341461	208.99925217109998	185.22328505881273	213.60096649107382	210.54634968919777	201.40291449485738	150.37182725019076	13.585162285629142
1.06	108.55937538419376	136.03854968551587	149.0574051862976	168.6055740909035	233.28887249700918	285.11264480499466	293.25624080142416	299.0014265199008	323.5213056727189	340.38655731285513	310.3450094349423	301.828795674406	278.06113565135007	248.61958751934833	276.32848131832014	195.0377991240542	214.8994523273782	224.27031715162548	219.56931174479806	188.19211225159316	187.10856309296636	13.706057237491512
1.05	83.65625444882042	119.65605450308423	144.97018489961883	176.09530507557434	198.24490107480452	261.0408236398557	328.2341488958033	294.77524578392524	339.78306124688146	318.3430336909566	329.35996472814213	275.12285835117933	260.6871361504007	286.8853082414462	219.34007590083073	195.55110547496707	208.78399247565181	205.52190914843717	203.77021284421102	208.02073905785002	175.55057629638154	8.251829447468019
1.04	78.92339477629176	137.9314016022194	150.62020611561027	147.03701026175452	196.67683822799808	260.5824783349887	273.9639996059161	330.39941311247316	304.70672391942327	340.2294051001367	320.9906253002792	293.31204284602876	263.93678652450785	273.1504400701601	230.56568760670805	224.99797459868546	236.95440406046026	176.28045117454218	201.14521660224574	199.03006214124343	194.75083043212297	11.331780225846764
1.03	78.35483259410753	122.92260646191906	177.96110785198988	158.4088498280466	215.01563435404444	278.8455066857246	268.68915287790065	335.09949618027855	330.2482090536044	291.23219370324205	307.08097161492947	307.6356881663342	294.722546979521	261.83409792945207	255.87839273868565	224.70151119386725	238.28540681198973	214.29188010922076	213.1726042074389	228.3500066645494	160.4571543836958	20.213769625258355
1.02	80.75321450378058	138.8315551655497	166.5150324361812	169.44034341043366	190.21989168328022	251.6269645930489	260.9629039184657	331.9600916127484	334.5555326091418	319.7272065657454	302.03357551611714	278.9099002353787	253.02053414719293	273.4296097121691	228.87939816816888	234.1342948475919	227.39112954687687	230.44819826942714	206.81269585404036	197.76436518289134	182.925337206961	13.357455703164803
1.01	81.81899060505403	136.76507867993968	130.40011376900716	159.19410730994082	188.35337000722313	271.4108731180269	299.4939679154856	301.6131934856325	339.22128694440306	327.7239374594265	322.2659402115041	276.68972457461246	280.31949527090427	254.7918393163658	225.90568010104852	197.9870881017522	213.59048055760624	232.11324533998933	230.834386833458	209.39134014284483	208.15694748249925	21.625278893025303
1.0	89.05691215224353	121.06717329963453	160.17990379323868	160.08542514288888	252.9817329863666	268.44279401053876	313.9678504501777	293.5408438483188	324.8734934904274	338.1209516249764	344.3496803487514	304.35453660568845	286.69971829765433	279.47628248914106	222.7623831015396	208.1872101199001	216.49415590439276	221.2886268263919	228.8013340996949	189.886951763471	181.3945593466924	9.840086547729891
0.99	83.8321763013034	128.08176356932418	178.02407924971143	159.50840337980284	171.86046190403096	257.21000075483	267.8975392714447	283.7650047412591	304.68423703300584	320.44545002873065	300.55651734974833	287.2637047452066	287.58980123586355	271.51049986757863	217.04143289908393	208.50439711063683	212.91194643101562	212.81661543295823	221.87492880179076	176.9545371589295	202.0909533922629	16.509844473911535
0.98	101.26419356180295	128.61205294494457	142.96183964030885	162.8769705039858	176.66094313115693	257.49533196754766	294.00493633539986	286.6902541745195	312.7975458268241	335.205611468707	331.8948656809012	277.8800872064695	277.24879022392673	245.37915222933427	200.2448230361481	211.4827256519952	217.7207507728125	216.27627107974456	223.5312614037151	211.2892510226549	158.8152967867571	8.492964469196147
0.97	87.29288480239332	127.02305966907868	141.2277533804875	176.14625684198143	174.84998644100546	255.71481439687972	314.1076129164844	313.977357913728	285.2724129801746	332.75316757026354	317.839601709285	304.9500232958071	255.8946421732107	236.10740528120053	170.54498646177655	203.90855411779137	222.62272261328937	180.2426481288668	202.5348693642847	226.93097878265053	188.72678986001097	27.9557300875509
0.96	88.83157742192083	138.87572386256824	173.72659396972227	149.09643633556348	188.9434722117352	253.4979770020555	264.1754896107528	309.02935684140107	333.4350659727117	309.8348469742293	275.7209291623126	291.05971496717706	288.31465218349985	239.22028068442617	203.60852555853688	186.40576320870136	221.49918570582597	194.01305051711842	213.84939623023766	192.96149811965932	206.9503828716135	14.949965281824985
0.95	83.70802581207904	151.33617653744855	149.45098330304447	164.77514303059286	211.55744850660545	244.2196036021249	286.17172089279995	325.4041407039661	324.87587860388993	283.5315832170634	306.73453688591326	276.23278583611824	261.3046021686708	223.07901629861848	233.1611476571849	211.04034353915907	178.60270982996354	201.21858085282398	245.14508678060983	241.04812035184554	197.4802848493352	10.704736317674751
0.94	83.43217692181676	137.81979386395122	154.77618945997528	162.0466737735196	169.21558047574223	229.41535073584856	271.40315102825156	277.7239259126931	265.4247327527226	250.96731448854365	332.08582378331	287.01992663096235	268.85558786843944	265.6340632726882	218.92384715874354	213.35860536426316	235.64443110878983	198.36698367169356	254.49753089765042	236.85752721657263	200.67005537449452	11.591614804870318
0.93	91.65656052757836	124.1588296420802	156.58104355956905	165.16883974101083	169.64989854601248	218.9206719402604	291.0512307007249	303.0497664650836	273.9639321651271	312.47391026492744	297.689713552066	264.35576025428446	290.4608763897502	199.28203676639853	216.11843897860263	186.79364930465573	243.14669951514549	189.44333944093182	213.47475390698983	224.29720964641461	199.2354229030706	23.731126999420262
0.92	89.9838292475498	133.4686064230719	156.41503194556947	185.71996930922975	158.94597498195145	206.3107257208962	254.21438874041348	278.8876206458674	273.5658720185417	276.7335320079891	288.72795127161095	245.00907365378976	254.11191628795422	231.55961834970688	222.07760445835285	226.04360050371676	190.19977977075303	208.9061010912796	193.18435754479455	228.70859103549844	213.42492800626147	22.902114410161527
0.91	85.89817425995196	123.20388733517618	147.2863500562409	184.1390105866395	195.25723399411882	221.97848101955316	270.48268571910114	312.0306763232598	278.9153413475498	294.83102001619505	296.8815838250204	286.4294513006345	298.5454745290396	197.6937456675613	205.12728143579545	208.876774392188	221.20121433366992	217.6581623250778	232.4032532432238	239.07640535838902	161.81738340945088	17.726241798133294
0.9	94.99872845980322	120.44611368055763	168.35357942201637	166.3673256361781	180.67221582581774	189.18342620566102	254.51975231935856	279.7640394955001	292.4863035077397	297.2479636245321	266.9537757605471	272.73846485726307	260.33540328378905	212.326068187904	201.3827967211198	208.17489031260584	219.71507200625175	199.70946949821294	227.21186261689442	247.32744642260454	227.0349192175529	16.000747005984884
0.89	83.42560712573128	132.05072024239948	148.78874388077818	169.35637001171693	178.33799148349945	209.56095080667916	243.39006534603666	279.70308324567526	240.01595193476965	293.82662891252994	290.80516066080753	253.21044129058654	213.82624803935292	220.29521832530415	162.46915604361635	201.84228448801926	170.89816960307792	190.10962705175126	220.3812193679234	200.4318415255222	184.15603709545283	19.129666927512154
0.88	68.23252859746317	125.95620050579457	144.64268392632238	165.09742193298055	169.26456383223862	200.59717159345735	244.9147484089859	266.3768429039046	280.4393365430734	275.1121968855853	280.1015185047776	272.7993791842022	220.61672047971155	206.09494316895737	221.78569135753918	217.8512552835924	177.50393757794828	228.83993892312725	218.11333932868766	223.3358170824615	201.66222986363167	17.968341379235113
0.87	88.51727975650479	121.09462795846122	143.3470081304783	154.02655227491633	168.8945290807479	193.1361364009605	254.44844817264203	256.4512778591023	292.100670463126	316.1651358068445	271.0363155880295	250.2220950155724	264.5414102300205	193.34776678102133	186.8401632496482	201.67090974393577	198.74580670715386	176.8221261773199	215.92413688003177	217.67768923649297	190.42609987316635	15.525852767494635
0.86	84.03160327589222	143.29482094016882	127.80038970558029	154.97007192880903	158.98493116735946	194.69488067769657	223.40035351575398	245.0902494996026	223.4949899131388	230.99370989344936	282.7264188807473	240.39525456467334	221.56952871830828	173.8624172882078	145.38634052764638	189.553868526818	199.4981253414392	218.88627630613058	228.84957138156085	177.8918163401919	181.6370716039314	22.39757535064983
0.85	79.94953523994347	144.9178600030225	117.84567030901225	160.3152814462421	152.0001938423307	174.99942629184488	211.6887504883417	247.08224768387242	285.12940894435286	273.8698998225097	278.12399659285643	249.12247658540753	181.90748733030426	170.84377762063286	177.20007042020436	195.81928079055527	214.54321561322115	204.80579969068182	218.39382402122504	204.29484607172964	157.78117056675075	15.471541416064886
0.84	64.64190039049224	124.60482708067786	145.76677739652058	146.45332341382635	131.50298670521474	190.12098643629224	197.13260518371584	251.24360063590416	257.2995877339776	233.1518800924851	268.7147100164507	237.43178817726172	214.4018994445572	153.00153370453316	188.6811139065151	176.8258603695416	170.3235943347214	184.21946885644823	214.43572691987578	211.3913720610939	206.39264459409614	17.48010763798953
0.83	81.31961613927632	116.86823713880754	127.06667132809314	129.4323461757889	148.08131411917108	176.08874258705666	192.1969519839962	202.77065511333927	237.94419283962355	235.84139156080892	255.31332270572761	244.29607881031495	198.86386629061312	158.81151407142005	165.08060261371264	194.37611509081802	207.30644303902739	187.62012647381567	178.06556349607789	192.36166257459425	150.78570317832296	19.4741080927899
0.82	84.91250555850338	120.34307399977412	157.45435936993204	135.23651308726073	164.87568533082214	149.20147517035173	199.4092182512385	206.31866844175164	237.53347051576102	242.19617014141937	230.14502834973143	206.11037475665563	187.60314613340196	159.57223887549551	203.61537564129506	183.21197696594652	215.80975470889746	179.91292220667793	169.50328695631958	188.94557523618468	180.652924804933	12.666123641995735
0.81	61.491057021574704	131.17275837866157	151.48845023701855	141.38083577447472	116.06294069567069	146.9736353869422	179.0247065923757	207.68396883070204	241.10222580354312	236.80623439315644	211.2236822222222	230.13158157142223	167.3685007206237	175.37346886431789	155.6605146296471	167.3247262949204	181.36611048089534	168.3766395425643	150.8928277895505	196.1971877474382	170.6131083500002	28.205894540315278
0.8	79.24887780734228	138.401620829936	143.4508997792255	134.88991546523323	144.62569259365205	161.59061790691223	146.28756755045697	187.19336061031836	187.04641840468202	198.49769888033669	210.87366263354727	180.577332512023	184.81848535476922	178.59032822319725	160.16575379501845	157.55452800758027	179.1654892425113	188.4947047402453	195.00167082947067	176.96415154170577	183.21204647271227	16.912859857120722
0.79	82.76026143382039	107.27329348534633	109.11227490831477	120.28084476957896	185.5055144716123	160.18389555397493	158.58047652691303	189.13523640149572	186.13424732033414	215.2611636434515	208.54509970284468	196.9159614461736	164.68944799318302	146.70476499836565	154.4196626629724	163.13980749923056	161.5895058064901	185.78207489752364	192.96339733461815	186.32435292606763	145.40054239665034	13.68016304284187
0.78	97.31225369083126	104.34127662138528	118.35718742451589	116.79208501328392	117.96123075620609	166.19851568504407	139.90687439164324	163.9292611168636	206.0054320721228	173.77465299485783	185.85974034229577	160.81561282784438	169.03317456048057	159.75812739589273	162.03525684479752	179.20631974514998	172.89418264438103	203.5485219028476	172.54427843213074	161.65381500131073	144.88152178560304	4.811181533494794
0.77	90.06702669052584	116.81156584016995	132.45957317592232	119.40944577799291	143.85289804690845	133.57756956842036	138.52888435522823	158.44546547388353	158.62927735777737	190.65674410608455	208.86499673240783	181.92156685321217	149.54936306714208	121.33447908892643	166.84587786550205	182.65042760839927	172.74658000784655	190.1726500065496	155.65230031361497	166.97785076394146	156.69920848538075	10.968851764725924
0.76	81.25426677514608	117.09548597020219	118.46524052965448	131.78671691377724	120.00318902682493	127.00950462263255	139.63608942382618	172.06297188396962	195.00043849481443	196.02183235320297	200.44687259160693	184.19410508939688	147.93248664404643	149.48924552262355	137.88776336304446	162.13072949677405	168.592093845184	156.82135565548933	158.8738937718458	163.76909430830216	171.65687232233878	22.263040942547473
0.75	62.63445606221768	112.94165612046119	113.06818086592482	118.18729291497648	134.36843968859884	139.3673081794846	157.0601857462291	151.00678490100455	175.96945283869223	170.40648413614414	187.18479249239795	150.59557597817172	182.37354449434503	162.1837858165156	135.11089670983696	136.952359755182	161.70679221969957	198.39485984734623	149.40806334261802	154.21879530743493	145.34246749963313	13.500444886083768
0.74	84.77346342812766	104.64663843278402	119.0645922041916	116.41392412618333	141.4060980047463	125.10679776293131	126.04422659109797	130.656745384547	160.9643294710614	192.24222945617976	162.3259755683163	141.41905588043346	127.72747639352224	152.21198332312554	140.90157636550103	149.24872774940815	146.27219389494147	171.71236304937426	158.59656797394763	160.74890370010186	140.9187752673744	19.421236669037928
0.73	83.66866062546148	117.50705996450584	128.123124835752	95.60119870594995	121.4875368739182	123.58256527193585	141.2393760929033	160.99593682824784	165.79636616464364	176.4560288986186	163.35722565776697	139.35185029369336	129.3753352069629	151.15220569406642	112.88098077201973	145.70248239137888	152.67325348274917	172.25747777702196	151.11709591414598	153.34728145223136	150.53216010751893	8.576654109799247
0.72	65.6911266399298	91.66611164224942	105.76184954142306	104.31386106655965	128.8452737910803	119.5302824863952	141.76367934293478	136.64384388583144	158.34503168964602	130.26721869262605	140.10971613726065	166.89368739217878	139.9841425910619	112.17752190224004	154.35987117404284	135.25582812029833	144.74705642960106	176.3044387401535	158.37024883533084	152.3025869524092	163.96465424566955	27.194659418051213
0.71	65.27760843905985	106.07096608867693	100.94850491130732	101.95632021759612	98.0233559948659	119.94157224649321	110.66412848098041	103.90774198566156	127.11413427214632	132.3589532361162	124.25091934859917	127.20874526552538	138.04210210990252	111.17791711847482	133.32895908886567	109.70528558406332	173.21377470174667	159.82020917028962	127.97091716930808	172.78877096663896	122.25771219312739	7.436887900721244
0.7	87.3395393177513	100.94019797728572	97.89833757942192	119.59497165471147	102.73828537114875	118.67187857095632	137.74736939094686	130.7579771107899	136.46550941698263	137.26558630409875	146.27906735566665	116.89227347396651	127.50988105501342	120.14038496771738	119.9418393799199	128.7768255191788	150.78827671718835	169.88650329951656	137.4541286049368	132.6214263197221	119.09338775517591	13.711837736042801
0.69	73.49095720595128	84.17413278799457	96.10595555129468	115.0952270862304	106.75048003997557	109.31181992725436	120.58747347800806	157.3432018555194	127.63893251386902	129.09208633383446	142.67904364660285	148.40828034941308	120.34885832425635	89.63074336005302	139.7397918240907	123.56360874965623	151.83092311727006	131.18239077807823	143.18148017516964	131.59849049164174	142.60271967761472	14.367527283218227
0.68	79.63057600127281	70.6855455743876	100.84957843697778	85.11197430772323	93.19354185090825	110.47863937731672	112.12948841936631	130.1671478966073	133.69196297921494	140.85926864036728	98.66611345014802	149.68809363612152	101.88002698236484	100.97921170948176	127.0659809797196	150.89743844859007	147.9399040312388	153.41126306527906	152.14371721041624	133.3081504429433	109.62784840133655	10.248719341895296
0.67	59.34528009848503	109.42172852512284	110.92621179057186	108.45799906962326	100.15989708031036	114.31876436285538	120.5304853175845	101.64260312706705	138.50453815763024	135.922372572193	120.46782877924748	112.9859924094629	121.9339316430835	128.77859972318572	156.71815034486877	123.15205017290637	141.91742944137275	153.2730264793284	121.94895322212521	125.69304962032234	110.45500365538963	24.71125074930917
0.66	67.7294597261699	98.59408507887925	94.32260545785577	92.32985886874299	84.83171347692821	119.04369403176216	125.02173511286499	117.42744891089312	125.81741560185701	104.64084814576695	122.23981582741786	126.98925866935882	121.69243815501156	115.60023024180528	106.09937133818194	133.4714253586316	168.13307848333005	128.93947807248483	156.822734522129	134.3001760197008	102.67087927030799	11.556338980382886
0.65	59.755100688735446	89.29888839261328	108.31897687087351	96.75825970176996	72.01406098437815	108.87099869744375	87.08359578296529	117.87372146743394	104.1606588020615	106.79672729723714	120.07338143775738	123.83365316801525	106.02540729887424	111.74851372181281	119.19890945190254	118.92570286869196	155.0853902439354	132.47143975528567	127.48757005035513	151.76597963884888	100.90780701984812	10.139249337405548
0.64	57.77126907987699	117.58010674405232	69.65487026474581	102.98002245585678	97.4580132752051	103.2972196571107	103.740359761369	136.4048853697038	95.35018622160432	109.05919656297085	117.30042345232418	102.3395323631288	137.77062998996234	110.12033261962183	102.86553224204577	144.699821705832	125.95161176175817	140.86836404097855	127.30028675076153	122.94768190930618	105.40546207055397	6.953209997765742
0.63	64.9214513232974	97.72728011388628	102.03283103451744	115.96433650956234	114.04469014173982	85.13914203069189	121.67874587854824	100.11326552046549	112.36820069724257	136.84264199315223	115.14330590976763	125.74075285207033	93.24683513348347	134.6152933541514	113.2445704668576	132.94740130837297	129.71471211782745	144.58112498641933	143.55402730091382	151.63047973250133	116.89572696095318	19.291649977124727
0.62	62.18565199348739	96.97244544554748	87.67921176930723	96.76895677727023	99.68249496857165	87.15447638221475	99.73656895116484	114.50149616775222	114.3097769283732	125.67899061305332	117.40546937770353	118.20699062338176	101.34710306121573	127.70503938695748	141.27220374046956	132.72541965058423	142.80221294081807	145.03125908121268	144.55291030814342	123.06058580357198	128.3471538895298	12.74312950785195
0.61	64.7410319885714	104.19827663471175	91.39030425635372	90.2125869635502	87.64521800644324	108.08393616229239	92.25243375599767	111.71515331147073	97.96415727213002	104.8149872813758	82.49728666505248	103.0864409034025	93.83454397412758	99.63641189134337	87.16926331462369	109.57494487734081	148.2442387176187	144.25629596164197	137.34045781853547	114.91997463218082	85.53352614690665	13.934592631608407
0.6	65.0156865899797	87.19192187045975	86.45689189075719	82.1807466548127	91.48050702288289	112.15469557244677	104.81564477287783	100.69620109056444	110.5854986689083	102.74323206894876	107.9389836905436	101.6419656444901	124.96667320153878	100.84305155005943	109.19260945841457	130.5453020039116	142.01520251337482	133.64883968470272	145.14675204209252	145.72281322522053	129.49326587493115	22.182375660792896
0.59	68.86049579073712	89.71488558271616	79.34326414870075	81.32575895196962	83.60279716297408	74.84413329671798	92.75990426199236	82.68683373879813	87.84802936694881	104.5267175389836	105.71836826206032	102.30307292154517	88.84631338526358	106.45887718757696	103.8403944568913	135.8459309839733	107.43131665795504	135.89813659008192	137.36475406575045	131.7732624831512	104.06012199600113	11.978954423816095
0.58	76.85017775344221	89.23593390269492	106.96848377272684	87.59068255572066	75.31926638181258	98.2516310506009	100.64145704516868	112.11350155020124	104.98894538154218	101.75184190584675	95.23847591609804	110.52149742520598	96.30992577073918	120.29353939843548	120.10680625416383	143.38250910704397	131.19747898377528	133.74265577629302	148.04536859361914	116.03132726127198	94.45133346709852	12.933493942698338
0.57	58.96029391506394	76.59018047689095	99.60867410588497	80.80305958350537	81.83852984776976	85.08193835606286	107.27006423855664	111.3555192008221	95.63571213030696	94.24539203950872	94.30041445993135	96.92481549412582	94.79992756756289	101.69292766457288	120.66759093426572	135.78706922487365	144.1021930576396	135.8342269618042	136.40597309253357	144.27269299260345	78.29664689440928	9.076004664557367
0.56	52.138088996624006	89.49639685389849	68.80021960978928	98.33480727124902	75.895150486064	65.74945299095297	84.9726807974156	98.43837427902594	87.91013739690047	105.47598898951382	103.76137034292559	85.45571897360658	94.91644010708765	90.11939576685899	110.21889582865342	145.63462291988435	132.37305796838393	119.4351970263872	146.07717036954617	129.77759401583174	94.88952166330891	14.878564839444287
0.55	61.3906192215001	90.62612390686537	74.71473287534738	69.46634969645372	70.59668494791863	76.03805805628176	95.01577324332102	105.05284858629084	99.4630439610309	101.68793579781163	102.91689464319354	93.47624611490278	71.16600915386418	109.9085094122022	113.12314664862268	119.6102667853972	135.69228437855116	131.2118875035153	156.84199636923873	133.46751901150972	94.25285862791871	12.080281825759432
0.54	62.47068917261215	96.22165202021787	88.71713174907	85.00868085968864	99.49991741805395	105.04509081701293	89.88356216189678	88.99513654900636	104.97217282730608	97.9457464622858	101.97536635204963	99.92693145829836	100.1390269218193	98.79787375584772	113.76528960418798	137.9604633565499	146.0880988728228	174.50669375478566	162.68389329395487	129.15038213414988	95.46230114897122	25.957653412884962
0.53	62.29889098043279	86.275152574308	80.7951791284033	105.25812363828581	79.4639047138326	78.99553395280667	90.35136742400714	95.03890945842834	87.3894445701864	116.94750253086447	109.24190626925926	88.54461330148084	115.74590195397327	102.13691663483753	116.8307544827393	103.0080504878856	129.085904181664	134.76182786916263	161.22889878028002	124.16252503766165	116.8732423513299	13.647943076523127
0.52	61.853863590228144	79.27569039715478	73.53267366709926	89.43684398146793	82.5358913928465	79.96350772751808	123.27963240632907	87.34701822192181	94.42080343437311	106.48820175560408	100.0577052262913	98.3259743302971	94.81342351760767	102.75105515307808	130.59633073631244	143.36481249182248	137.30801485976045	165.38303418532107	156.39550690088114	131.19162608184965	103.52129847485286	12.838268976647067
0.51	57.80535846815662	86.72238623301719	76.75080224981625	89.65506961317944	81.7700594078466	84.94599361778839	90.14989581182927	89.92629063913179	111.91329357768775	84.96043585914181	100.05366053245295	94.4523778666267	89.01721975921723	107.353519428866	132.64038203513417	152.16867547836046	149.43426516693174	153.48597410960903	148.76443382978965	122.07656815962036	100.02214914167355	11.503722943210168
0.5	64.47832713239268	79.62878617068642	82.24353073711052	70.97064496042017	98.81813062453969	80.24539512173662	85.45617214241749	97.6912611000554	92.74234943888727	108.58679014945622	107.8588901914998	109.25354257457131	90.72075461678297	91.82057087049665	117.92171623442262	123.030126713938	140.7619953778124	161.60531829365	181.6513948753444	135.23492950646423	100.53930318486428	14.199442893199565
0.49	79.59104748847415	90.93407385114165	97.51592734694233	94.7904262510038	102.5834640386444	83.03866001871947	92.88697387758242	90.13415847118124	94.42812410527826	107.96538213199393	79.64270847184821	104.41778095905994	96.59124341735719	85.57589739710045	118.64263464186786	138.91430746901318	145.08738677677403	193.57230838084914	167.73583051676133	156.20742722407905	116.23571429130968	18.069515931529878
0.48	55.06793435830709	100.61008823827578	94.45870980187131	98.87035437302085	72.09628614042721	96.0672423464625	89.3155875990099	89.18187143157733	84.6286379554143	91.75706347952406	97.30588233389545	103.78966274486211	90.19435294756735	98.13039414900163	119.73492687845153	126.8161296587074	159.70129781011184	154.1954613098613	173.21736067825768	123.5681864915496	83.8320192271466	12.765698317428225
0.47	75.3338188391325	86.65646422854816	109.22621380501118	88.51468480397885	81.72481750010225	86.14243770973574	83.53337818698711	89.52699506076704	99.12605089170009	103.9901833939924	108.96105184929338	74.83820272727476	102.2591336323127	102.94412096940947	122.40345269209708	118.40776444480404	162.87008419725876	174.85037153017927	178.57296290059423	125.18789013002176	95.99048544733353	12.651155437932005
0.46	74.96523656159322	93.39201258856917	101.33157808178893	82.11078110898985	74.60411672230505	95.0729510561138	82.42245480523216	104.57311607907934	98.10472644003161	109.336284592763	80.80263746118364	104.18681985349593	88.18361759094459	116.36264965759509	141.8686860841492	165.74927966061708	156.63508378321276	184.99002948264737	192.406051011241	147.45059436440621	99.03231754597356	8.342876140989244
0.45	56.181297949607774	76.68901809109504	101.82555453374748	88.58385597104144	81.33264941051134	82.42293989867964	100.87476830614821	85.59445426109869	89.06629346370406	113.80550792539873	104.0895673563526	107.1604295563192	90.71281695298882	119.94739332136692	125.72855205724191	179.94333528755854	170.45540081322847	202.38920180627568	159.11959186873568	139.73600109746621	124.77364578347276	15.239261875721965
0.44	65.7346854107246	66.95538621483524	88.14024834969935	77.75536537613189	76.71689482498097	83.38879718381246	70.092034175126	89.70262938341656	100.72158735375204	96.39673574002475	103.40790554132144	82.72808327745334	104.10231567953805	87.82420182844479	117.59808152751768	166.70080440697595	141.53396111674672	186.78882715854394	154.7315406464714	137.25004893489677	105.89336400459727	8.312876295040025
0.43	68.10238674362913	92.79083739863741	89.4094339395254	92.73422653433278	90.90401360818414	91.84008397716322	85.22654912079676	80.43060466239156	101.83963311044828	78.38224380275149	99.01581082235488	93.46149585356105	111.77613410610157	123.81778977283612	110.70877607450518	135.80030407477216	170.10115549834774	183.38765647724927	184.7399643259521	133.18291215531283	109.33764298675341	21.706417474106278
0.42	79.6978608289193	82.9683231713808	88.47347172384714	76.55887952923719	89.65223103413774	81.75085719630803	89.37095675827184	76.11368690106228	92.25888389995283	102.44517534014062	91.90475077632023	99.52528911021666	120.04500386650602	86.5528614853218	115.60930151240396	145.357554914902	162.55572856313776	164.15869386236426	186.20053447721187	158.67699380195884	126.61611689695032	10.798626810826653
0.41	81.84655334257106	82.65497334012507	92.69585650104209	102.09893524313536	90.17549855395937	84.36865082672684	79.16510234107507	87.1444265255004	85.14458391873993	112.11693277643444	99.78976243554605	80.28474270627315	106.67799836674327	117.9008654466709	123.5624160711005	150.18821052079755	154.91767266129315	210.36600044526597	189.03769944628985	136.24977427030674	113.46072008208425	21.908053724826708
0.4	72.53554356258547	76.83319747705961	94.006034596558	95.64176511972664	80.97229669492629	83.80941107590448	90.84241993677955	75.53452625527885	85.15685492262946	86.17626664338903	101.15208795119553	79.43542376339967	89.63155380991854	115.02632747484081	136.02273110102485	138.59849138822955	158.6344163916212	194.68284212631465	175.92844691572222	160.87368483941052	106.71216589548433	19.265563636963773
0.39	72.46909204381275	93.4464665900688	65.93734181794424	88.01041182227596	74.06755474631818	69.76125484508096	103.99492495803983	84.58500977144597	90.13828500272895	99.78200241250353	102.31929087515847	92.35124237572684	106.70629285322185	119.10566616444068	128.87029641169067	133.59991973452853	195.60714797558973	204.75351182196255	183.2190828312124	166.05333227119007	120.4819599331196	13.696881773552494
0.38	80.311309129568	98.68593144748162	84.28788747758148	93.86871463438916	69.98573946690914	85.48284894159009	77.16668239502833	89.53641728867915	106.2862314265595	99.49085987094878	90.46534381097854	85.92776471955733	99.0833966648287	98.38665904127805	136.878087918032	144.9371010979788	204.16001463878052	189.740679332556	172.12264739818858	142.79419825640366	113.05168923309833	16.757007380107535
0.37	101.2346211279732	91.73404130495793	84.33032165781637	80.4032431710593	67.87963337501871	73.09165556393464	77.39864024203756	85.64554304951939	103.99611631704181	74.89649924609442	87.98973640341706	99.51356985169323	107.96398221903878	116.30875935786624	128.48144751111806	136.54756169209068	180.6841627966413	200.7270963617788	171.132451808484	161.01022282595335	119.68941161404108	9.457796443853384
0.36	61.40483135431153	86.54767876252404	78.24295645688589	80.1668860506727	102.36103290499672	73.56310712856137	80.47967750822737	70.08370587260676	83.13666361942468	96.57830505404279	94.10306955123407	90.12867266752532	81.7565907961984	110.48887793793617	114.64826692414056	151.4167204645755	192.43415368139415	190.59125333371858	208.41360034952612	174.5505698265741	109.45822077437319	20.532903593349108
